delta_counts,elapsed_s,note,payload_hex,raw_position,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,,,1,14713,valid-start,000001,START,14714,1790024806.331283,1
270,0.15023050000309013,,00E5E3,271,14443,valid,00010F,FAST,14714,1790024806.5071194,271
686,0.32609049999155104,,00E5E3,957,13757,valid,0003BD,FAST,14714,1790024806.6830583,957
756,0.5022667000012007,,00E5E3,1713,13001,valid,0006B1,FAST,14714,1790024806.8589132,1713
836,0.67817090000608,,00E5E3,2549,12165,valid,0009F5,FAST,14714,1790024807.0348175,2549
860,0.8536866999929771,,00E5E3,3409,11305,valid,000D51,FAST,14714,1790024807.210698,3409
849,1.029635299986694,,00E5E3,4258,10456,valid,0010A2,FAST,14714,1790024807.386632,4258
874,1.2058766999980435,,00E5E3,5132,9582,valid,00140C,FAST,14714,1790024807.5625558,5132
888,1.3817897999833804,,00E5E3,6020,8694,valid,001784,FAST,14714,1790024807.738481,6020
839,1.5575144999893382,,00E5E3,6859,7855,valid,001ACB,FAST,14714,1790024807.9143553,6859
858,1.7331620999902952,,00E5E3,7717,6997,valid,001E25,FAST,14714,1790024808.0902672,7717
768,1.9096101000031922,,0072F1,8485,6229,valid,002125,MEDIUM,14714,1790024808.2661793,8485
560,2.084983499982627,,0072F1,9045,5669,valid,002355,MEDIUM,14714,1790024808.4420893,9045
520,2.260865299991565,,0072F1,9565,5149,valid,00255D,MEDIUM,14714,1790024808.617974,9565
447,2.43675669998629,,0072F1,10012,4702,valid,00271C,MEDIUM,14714,1790024808.7938914,10012
490,2.612806399993133,,0072F1,10502,4212,valid,002906,MEDIUM,14714,1790024808.9698143,10502
507,2.788949399982812,,0072F1,11009,3705,valid,002B01,MEDIUM,14714,1790024809.1457326,11009
514,2.9649396000022534,,0072F1,11523,3191,valid,002D03,MEDIUM,14714,1790024809.3216317,11523
503,3.140419000003021,,0072F1,12026,2688,valid,002EFA,MEDIUM,14714,1790024809.4975586,12026
450,3.3169345000060275,,003978,12476,2238,valid,0030BC,FINE,14714,1790024809.673484,12476
318,3.492258899990702,,003978,12794,1920,valid,0031FA,FINE,14714,1790024809.84934,12794
223,3.6685354000073858,,003978,13017,1697,valid,0032D9,FINE,14714,1790024810.025258,13017
111,3.8442218999844044,,003978,13128,1586,valid,003348,FINE,14714,1790024810.2011755,13128
79,4.020051100000273,,003978,13207,1507,valid,003397,FINE,14714,1790024810.3770752,13207
71,4.195855500001926,,003978,13278,1436,valid,0033DE,FINE,14714,1790024810.5529633,13278
79,4.371804199996404,,003978,13357,1357,valid,00342D,FINE,14714,1790024810.7289045,13357
100,4.547672899992904,,003978,13457,1257,valid,003491,FINE,14714,1790024810.9047737,13457
126,4.723648399987724,,003978,13583,1131,valid,00350F,FINE,14714,1790024811.0806859,13583
131,4.899467799987178,,003978,13714,1000,valid,003592,FINE,14714,1790024811.2565963,13714
83,5.075466599984793,,002000,13797,917,valid,0035E5,SLOW,14714,1790024811.432495,13797
2,5.2512625999806914,,002000,13799,915,valid,0035E7,SLOW,14714,1790024811.6084096,13799
1,5.427193699986674,,002000,13800,914,valid,0035E8,SLOW,14714,1790024811.784302,13800
0,5.603065700008301,,002000,13800,914,valid,0035E8,SLOW,14714,1790024811.9601989,13800
2,5.77939479998895,,002000,13802,912,valid,0035EA,SLOW,14714,1790024812.1361098,13802
5,5.954966899997089,,002000,13807,907,valid,0035EF,SLOW,14714,1790024812.3120146,13807
5,6.131073099997593,,002000,13812,902,valid,0035F4,SLOW,14714,1790024812.4878957,13812
7,6.306913799984613,,002000,13819,895,valid,0035FB,SLOW,14714,1790024812.6638494,13819
10,6.482615899993107,,002000,13829,885,valid,003605,SLOW,14714,1790024812.839745,13829
17,6.658511299989186,,002000,13846,868,valid,003616,SLOW,14714,1790024813.0156283,13846
18,6.834399199986365,,002000,13864,850,valid,003628,SLOW,14714,1790024813.191563,13864
24,7.010777199990116,,002000,13888,826,valid,003640,SLOW,14714,1790024813.3674717,13888
23,7.186681899998803,,002000,13911,803,valid,003657,SLOW,14714,1790024813.5433664,13911
44,7.362139300006675,,002000,13955,759,valid,003683,SLOW,14714,1790024813.71927,13955
79,7.538049900002079,,002000,14034,680,valid,0036D2,SLOW,14714,1790024813.895185,14034
121,7.71394839999266,,002000,14155,559,valid,00374B,SLOW,14714,1790024814.071077,14155
168,7.889858999988064,,002000,14323,391,valid,0037F3,SLOW,14714,1790024814.2470007,14323
229,8.065775800001575,,002000,14552,162,valid,0038D8,SLOW,14714,1790024814.4229116,14552
103,8.292716900003143,,002000,14655,59,valid,00393F,SLOW,14714,1790024814.6467886,14655
-1,8.465911699982826,,002000,14654,60,valid,00393E,SLOW,14714,1790024814.8227067,14654
0,8.641731199983042,,002000,14654,60,valid,00393E,SLOW,14714,1790024814.9986417,14654
0,8.817422799998894,,002000,14654,60,valid,00393E,SLOW,14714,1790024815.1744983,14654
0,8.99328239998431,,002000,14654,60,valid,00393E,SLOW,14714,1790024815.3504224,14654
