delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,284114.1693341,False,,,11632,False,0,,,,,,,-14713,valid-start,002D70,START,-3081,1790098097.1861234,11632
-151,0.15107110003009439,284114.3452995,False,,00E5E3,11481,False,0,,,,,,,-14562,valid,002CD9,FAST,-3081,1790098097.3620887,11481
-407,0.32604740001261234,284114.5212798,False,,00E5E3,11074,False,0,,,,,,,-14155,valid,002B42,FAST,-3081,1790098097.5380697,11074
-492,0.5022667000303045,284114.6966878,False,,00E5E3,10582,False,0,,,,,,,-13663,valid,002956,FAST,-3081,1790098097.7134774,10582
-466,0.6776648000231944,284114.8726998,False,,00E5E3,10116,False,0,,,,,,,-13197,valid,002784,FAST,-3081,1790098097.8894887,10116
-380,0.8538292000303045,284115.0487102,False,,00E5E3,9736,False,0,,,,,,,-12817,valid,002608,FAST,-3081,1790098098.0654986,9736
-439,1.0294893000391312,284115.2246648,False,,00E5E3,9297,False,0,,,,,,,-12378,valid,002451,FAST,-3081,1790098098.2414544,9297
-462,1.2054008000413887,284115.4002925,False,,00E5E3,8835,False,0,,,,,,,-11916,valid,002283,FAST,-3081,1790098098.4170809,8835
-492,1.3814165000221692,284115.5762624,False,,00E5E3,8343,False,0,,,,,,,-11424,valid,002097,FAST,-3081,1790098098.5930512,8343
-483,1.5569948999909684,284115.7522439,False,,00E5E3,7860,False,0,,,,,,,-10941,valid,001EB4,FAST,-3081,1790098098.7690334,7860
-481,1.7330059999949299,284115.928233,False,,00E5E3,7379,False,0,,,,,,,-10460,valid,001CD3,FAST,-3081,1790098098.945022,7379
-484,1.9089669000240974,284116.1042177,False,,00E5E3,6895,False,0,,,,,,,-9976,valid,001AEF,FAST,-3081,1790098099.1210074,6895
-491,2.0852348000044003,284116.2802177,False,,00E5E3,6404,False,0,,,,,,,-9485,valid,001904,FAST,-3081,1790098099.2970073,6404
-499,2.261357700044755,284116.4562097,False,,00E5E3,5905,False,0,,,,,,,-8986,valid,001711,FAST,-3081,1790098099.4729993,5905
-486,2.4372022000025027,284116.631619,False,,00E5E3,5419,False,0,,,,,,,-8500,valid,00152B,FAST,-3081,1790098099.648409,5419
-484,2.6124948000069708,284116.8076303,False,,00E5E3,4935,False,0,,,,,,,-8016,valid,001347,FAST,-3081,1790098099.8244197,4935
-476,2.7884434000006877,284116.9836006,False,,00E5E3,4459,False,0,,,,,,,-7540,valid,00116B,FAST,-3081,1790098100.00039,4459
-531,2.964328700036276,284117.1595997,False,,00E5E3,3928,False,0,,,,,,,-7009,valid,000F58,FAST,-3081,1790098100.1763895,3928
-562,3.14031560003059,284117.3355979,False,,00E5E3,3366,False,0,,,,,,,-6447,valid,000D26,FAST,-3081,1790098100.3523877,3366
-509,3.316380600037519,284117.5111777,False,,00E5E3,2857,False,0,,,,,,,-5938,valid,000B29,FAST,-3081,1790098100.5279672,2857
-528,3.4919184000464156,284117.6871734,False,,00E5E3,2329,False,0,,,,,,,-5410,valid,000919,FAST,-3081,1790098100.703963,2329
-570,3.6683472000295296,284117.8631617,False,,00E5E3,1759,False,0,,,,,,,-4840,valid,0006DF,FAST,-3081,1790098100.8799517,1759
-428,3.8440366000286303,284118.03916,False,,0072F1,1331,False,0,,,,,,,-4412,valid,000533,MEDIUM,-3081,1790098101.0559494,1331
-188,4.019885000016075,284118.215152,False,,0072F1,1143,False,0,,,,,,,-4224,valid,000477,MEDIUM,-3081,1790098101.231942,1143
-55,4.196250200038776,284118.3911505,False,,0072F1,1088,False,0,,,,,,,-4169,valid,000440,MEDIUM,-3081,1790098101.4079401,1088
-53,4.371877700032201,284118.5671389,False,,0072F1,1035,False,0,,,,,,,-4116,valid,00040B,MEDIUM,-3081,1790098101.5839286,1035
