delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,261045.2842992,False,,,246709,False,0,,,,,,,-14713,valid-start,03C3B5,START,231996,1790075028.3010886,246709
-152,0.15018589998362586,261045.4601827,False,,00E5E3,246557,False,0,,,,,,,-14561,valid,03C31D,FAST,231996,1790075028.4769723,246557
-367,0.3263172000006307,261045.6361035,False,,00E5E3,246190,False,0,,,,,,,-14194,valid,03C1AE,FAST,231996,1790075028.6528926,246190
-477,0.5023327999806497,261045.8120514,False,,00E5E3,245713,False,0,,,,,,,-13717,valid,03BFD1,FAST,231996,1790075028.828841,245713
-455,0.6779167999920901,261045.9879282,False,,00E5E3,245258,False,0,,,,,,,-13262,valid,03BE0A,FAST,231996,1790075029.0047176,245258
-351,0.8539715000079013,261046.1639283,False,,00E5E3,244907,False,0,,,,,,,-12911,valid,03BCAB,FAST,231996,1790075029.180716,244907
-329,1.030158699984895,261046.3397829,False,,00E5E3,244578,False,0,,,,,,,-12582,valid,03BB62,FAST,231996,1790075029.3565714,244578
-371,1.2055486000026576,261046.515652,False,,00E5E3,244207,False,0,,,,,,,-12211,valid,03B9EF,FAST,231996,1790075029.5324414,244207
-410,1.3814116999856196,261046.6915605,False,,00E5E3,243797,False,0,,,,,,,-11801,valid,03B855,FAST,231996,1790075029.7083504,243797
-398,1.557392799993977,261046.867509,False,,00E5E3,243399,False,0,,,,,,,-11403,valid,03B6C7,FAST,231996,1790075029.8842983,243399
-394,1.7334759999939706,261047.0433687,False,,00E5E3,243005,False,0,,,,,,,-11009,valid,03B53D,FAST,231996,1790075030.0601585,243005
-444,1.9091479000053369,261047.2193042,False,,00E5E3,242561,False,0,,,,,,,-10565,valid,03B381,FAST,231996,1790075030.2360935,242561
-481,2.085486600000877,261047.3951905,False,,00E5E3,242080,False,0,,,,,,,-10084,valid,03B1A0,FAST,231996,1790075030.41198,242080
-487,2.2609489999886137,261047.5711205,False,,00E5E3,241593,False,0,,,,,,,-9597,valid,03AFB9,FAST,231996,1790075030.5879102,241593
-487,2.4368805999984033,261047.746996,False,,00E5E3,241106,False,0,,,,,,,-9110,valid,03ADD2,FAST,231996,1790075030.7637851,241106
-499,2.61281500000041,261047.9229044,False,,00E5E3,240607,False,0,,,,,,,-8611,valid,03ABDF,FAST,231996,1790075030.939694,240607
-500,2.7891381999943405,261048.098828,False,,00E5E3,240107,False,0,,,,,,,-8111,valid,03A9EB,FAST,231996,1790075031.1156173,240107
-455,2.9649307999934535,261048.274705,False,,00E5E3,239652,False,0,,,,,,,-7656,valid,03A824,FAST,231996,1790075031.2914944,239652
-439,3.1409543000045232,261048.4506291,False,,00E5E3,239213,False,0,,,,,,,-7217,valid,03A66D,FAST,231996,1790075031.467419,239213
-485,3.316419599985238,261048.626548,False,,00E5E3,238728,False,0,,,,,,,-6732,valid,03A488,FAST,231996,1790075031.6433377,238728
-475,3.4923695999896154,261048.8024778,False,,00E5E3,238253,False,0,,,,,,,-6257,valid,03A2AD,FAST,231996,1790075031.8192675,238253
-492,3.6682489999802783,261048.9784349,False,,00E5E3,237761,False,0,,,,,,,-5765,valid,03A0C1,FAST,231996,1790075031.9952242,237761
-542,3.844422599999234,261049.1542991,False,,00E5E3,237219,False,0,,,,,,,-5223,valid,039EA3,FAST,231996,1790075032.1710882,237219
-541,4.020069499994861,261049.3302044,False,,00E5E3,236678,False,0,,,,,,,-4682,valid,039C86,FAST,231996,1790075032.3469937,236678
-411,4.196402300003683,261049.5061224,False,,0072F1,236267,False,0,,,,,,,-4271,valid,039AEB,MEDIUM,231996,1790075032.522912,236267
-168,4.372389299998758,261049.6820164,False,,0072F1,236099,False,0,,,,,,,-4103,valid,039A43,MEDIUM,231996,1790075032.6988063,236099
-89,4.547802299988689,261049.8579421,False,,0072F1,236010,False,0,,,,,,,-4014,valid,0399EA,MEDIUM,231996,1790075032.8747315,236010
-65,4.723706499993568,261050.0338358,False,,0072F1,235945,False,0,,,,,,,-3949,valid,0399A9,MEDIUM,231996,1790075033.0506256,235945
-48,4.900102899991907,261050.2097527,False,,0072F1,235897,False,0,,,,,,,-3901,valid,039979,MEDIUM,231996,1790075033.2265422,235897
-42,5.075528299988946,261050.3856404,False,,0072F1,235855,False,0,,,,,,,-3859,valid,03994F,MEDIUM,231996,1790075033.4024303,235855
-38,5.251718899991829,261050.5615709,False,,0072F1,235817,False,0,,,,,,,-3821,valid,039929,MEDIUM,231996,1790075033.57836,235817
-38,5.427335499989567,261050.7374554,False,,0072F1,235779,False,0,,,,,,,-3783,valid,039903,MEDIUM,231996,1790075033.754245,235779
-59,5.603226999985054,261050.9133678,False,,0072F1,235720,False,0,,,,,,,-3724,valid,0398C8,MEDIUM,231996,1790075033.9301577,235720
-73,5.77912419999484,261051.0892849,False,,0072F1,235647,False,0,,,,,,,-3651,valid,03987F,MEDIUM,231996,1790075034.1060748,235647
-80,5.955175199982477,261051.2652224,True,,0072F1,235567,True,1,,0072F1,80,235647,235647,,-3571,valid,03982F,MEDIUM,231996,1790075034.282012,235567
-104,6.131353100005072,261051.4411528,True,,0072F1,235463,True,1,,0072F1,184,235647,235647,True,-3467,valid,0397C7,MEDIUM,231996,1790075034.4579422,235463
-84,6.307047599984799,261051.6170878,True,,0072F1,235379,True,1,,0072F1,268,235647,235647,True,-3383,valid,039773,MEDIUM,231996,1790075034.6338775,235379
-117,6.482844099984504,261051.7930607,True,,0072F1,235262,True,1,,0072F1,385,235647,235647,True,-3266,valid,0396FE,MEDIUM,231996,1790075034.8098488,235262
