delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,261299.7257329,False,,,246670,False,0,,,,,,,-14713,valid-start,03C38E,START,231957,1790075282.742522,246670
-154,0.15019919999758713,261299.9016305,False,,00E5E3,246516,False,0,,,,,,,-14559,valid,03C2F4,FAST,231957,1790075282.9184196,246516
-400,0.3261639999982435,261300.0775386,False,,00E5E3,246116,False,0,,,,,,,-14159,valid,03C164,FAST,231957,1790075283.094328,246116
-482,0.5019309000053909,261300.2534931,False,,00E5E3,245634,False,0,,,,,,,-13677,valid,03BF82,FAST,231957,1790075283.2702823,245634
-415,0.6783329999889247,261300.4293495,False,,00E5E3,245219,False,0,,,,,,,-13262,valid,03BDE3,FAST,231957,1790075283.4461384,245219
-428,0.853698799997801,261300.6052362,False,,00E5E3,244791,False,0,,,,,,,-12834,valid,03BC37,FAST,231957,1790075283.6220257,244791
-442,1.0298583999974653,261300.7811388,False,,00E5E3,244349,False,0,,,,,,,-12392,valid,03BA7D,FAST,231957,1790075283.797928,244349
-464,1.2056922999909148,261300.9570694,False,,00E5E3,243885,False,0,,,,,,,-11928,valid,03B8AD,FAST,231957,1790075283.9738588,243885
-452,1.3814230000134557,261301.1329756,False,,00E5E3,243433,False,0,,,,,,,-11476,valid,03B6E9,FAST,231957,1790075284.149765,243433
-483,1.5574245000025257,261301.308937,False,,00E5E3,242950,False,0,,,,,,,-10993,valid,03B506,FAST,231957,1790075284.3257256,242950
-477,1.7334579000016674,261301.4847995,False,,00E5E3,242473,False,0,,,,,,,-10516,valid,03B329,FAST,231957,1790075284.5015888,242473
-483,1.9091516000044066,261301.6607086,False,,00E5E3,241990,False,0,,,,,,,-10033,valid,03B146,FAST,231957,1790075284.677498,241990
-486,2.085168599995086,261301.8366153,False,,00E5E3,241504,False,0,,,,,,,-9547,valid,03AF60,FAST,231957,1790075284.8534048,241504
-486,2.2613062000018544,261302.012543,False,,00E5E3,241018,False,0,,,,,,,-9061,valid,03AD7A,FAST,231957,1790075285.029332,241018
-491,2.4371189000084996,261302.1884403,False,,00E5E3,240527,False,0,,,,,,,-8570,valid,03AB8F,FAST,231957,1790075285.20523,240527
-483,2.6131353999953717,261302.3644223,False,,00E5E3,240044,False,0,,,,,,,-8087,valid,03A9AC,FAST,231957,1790075285.381212,240044
-499,2.7889926999923773,261302.5402847,False,,00E5E3,239545,False,0,,,,,,,-7588,valid,03A7B9,FAST,231957,1790075285.5570738,239545
-520,2.964779100002488,261302.7162231,False,,00E5E3,239025,False,0,,,,,,,-7068,valid,03A5B1,FAST,231957,1790075285.7330127,239025
-562,3.1407848999951966,261302.8920955,False,,00E5E3,238463,False,0,,,,,,,-6506,valid,03A37F,FAST,231957,1790075285.9088852,238463
-503,3.3165070000104606,261303.0680184,False,,00E5E3,237960,False,0,,,,,,,-6003,valid,03A188,FAST,231957,1790075286.0848079,237960
-552,3.4925087000010535,261303.2439376,False,,00E5E3,237408,False,0,,,,,,,-5451,valid,039F60,FAST,231957,1790075286.260727,237408
-564,3.6682901000021957,261303.4198304,False,,00E5E3,236844,False,0,,,,,,,-4887,valid,039D2C,FAST,231957,1790075286.4366195,236844
-440,3.8443010000046343,261303.5957511,False,,0072F1,236404,False,0,,,,,,,-4447,valid,039B74,MEDIUM,231957,1790075286.6125407,236404
-193,4.02008059999207,261303.7716842,False,,0072F1,236211,False,0,,,,,,,-4254,valid,039AB3,MEDIUM,231957,1790075286.788474,236211
-104,4.196162300009746,261303.9475669,False,,0072F1,236107,False,0,,,,,,,-4150,valid,039A4B,MEDIUM,231957,1790075286.9643567,236107
-79,4.371915199997602,261304.1234953,False,,0072F1,236028,False,0,,,,,,,-4071,valid,0399FC,MEDIUM,231957,1790075287.140285,236028
-78,4.548042700014776,261304.2994166,False,,0072F1,235950,False,0,,,,,,,-3993,valid,0399AE,MEDIUM,231957,1790075287.3162057,235950
