delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,261547.1585523,False,,,246667,False,0,,,,,,,-14713,valid-start,03C38B,START,231954,1790075530.175342,246667
-121,0.15017269999952987,261547.3344806,False,,00E5E3,246546,False,0,,,,,,,-14592,valid,03C312,FAST,231954,1790075530.35127,246546
-400,0.32600460000685416,261547.5103819,False,,00E5E3,246146,False,0,,,,,,,-14192,valid,03C182,FAST,231954,1790075530.527171,246146
-479,0.501902699994389,261547.6863018,False,,00E5E3,245667,False,0,,,,,,,-13713,valid,03BFA3,FAST,231954,1790075530.7030911,245667
-458,0.6778274000098463,261547.8622306,False,,00E5E3,245209,False,0,,,,,,,-13255,valid,03BDD9,FAST,231954,1790075530.8790193,245209
-432,0.8541165000060573,261548.0381377,False,,00E5E3,244777,False,0,,,,,,,-12823,valid,03BC29,FAST,231954,1790075531.0549262,244777
-446,1.029939200001536,261548.2140699,False,,00E5E3,244331,False,0,,,,,,,-12377,valid,03BA6B,FAST,231954,1790075531.2308574,244331
-440,1.2056084999931045,261548.3899856,False,,00E5E3,243891,False,0,,,,,,,-11937,valid,03B8B3,FAST,231954,1790075531.406774,243891
-494,1.381819500005804,261548.5658508,False,,00E5E3,243397,False,0,,,,,,,-11443,valid,03B6C5,FAST,231954,1790075531.5826404,243397
-481,1.5574167000013404,261548.7417665,False,,00E5E3,242916,False,0,,,,,,,-10962,valid,03B4E4,FAST,231954,1790075531.7585561,242916
-479,1.7332732999930158,261548.9176999,False,,00E5E3,242437,False,0,,,,,,,-10483,valid,03B305,FAST,231954,1790075531.9344893,242437
-451,1.9092204000044148,261549.0936084,False,,00E5E3,241986,False,0,,,,,,,-10032,valid,03B142,FAST,231954,1790075532.1103983,241986
-477,2.0853793999995105,261549.269567,False,,00E5E3,241509,False,0,,,,,,,-9555,valid,03AF65,FAST,231954,1790075532.2863555,241509
-490,2.261202699999558,261549.4454453,False,,00E5E3,241019,False,0,,,,,,,-9065,valid,03AD7B,FAST,231954,1790075532.4622335,241019
