delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,282686.142862,False,,,11959,False,0,,,,,,,-14713,valid-start,002EB7,START,-2754,1790096669.159652,11959
-130,0.15052570000989363,282686.3060877,False,,00E5E3,11829,False,0,,,,,,,-14583,valid,002E35,FAST,-2754,1790096669.3228765,11829
-347,0.313361199980136,282686.4684835,False,,00E5E3,11482,False,0,,,,,,,-14236,valid,002CDA,FAST,-2754,1790096669.4852731,11482
-423,0.4760357000050135,282686.6313482,False,,00E5E3,11059,False,0,,,,,,,-13813,valid,002B33,FAST,-2754,1790096669.6481364,11059
-392,0.638852100004442,282686.7941537,False,,00E5E3,10667,False,0,,,,,,,-13421,valid,0029AB,FAST,-2754,1790096669.8109424,10667
-363,0.8014445999870077,282686.9565968,False,,00E5E3,10304,False,0,,,,,,,-13058,valid,002840,FAST,-2754,1790096669.973386,10304
-363,0.963813400012441,282687.1190179,False,,00E5E3,9941,False,0,,,,,,,-12695,valid,0026D5,FAST,-2754,1790096670.1358073,9941
-358,1.126329299993813,282687.2815442,False,,00E5E3,9583,False,0,,,,,,,-12337,valid,00256F,FAST,-2754,1790096670.298332,9583
-391,1.2889721000101417,282687.4443214,False,,00E5E3,9192,False,0,,,,,,,-11946,valid,0023E8,FAST,-2754,1790096670.4611108,9192
-402,1.451902600005269,282687.6070912,False,,00E5E3,8790,False,0,,,,,,,-11544,valid,002256,FAST,-2754,1790096670.6238804,8790
-411,1.6143198999925517,282687.7702404,False,,00E5E3,8379,False,0,,,,,,,-11133,valid,0020BB,FAST,-2754,1790096670.7870297,8379
-430,1.7779328000033274,282687.933736,False,,00E5E3,7949,False,0,,,,,,,-10703,valid,001F0D,FAST,-2754,1790096670.9505258,7949
-420,1.9411978999851272,282688.0968882,False,,00E5E3,7529,False,0,,,,,,,-10283,valid,001D69,FAST,-2754,1790096671.1136775,7529
-417,2.1045597000047565,282688.2603539,False,,00E5E3,7112,False,0,,,,,,,-9866,valid,001BC8,FAST,-2754,1790096671.277143,7112
-435,2.2680707999970764,282688.4238428,False,,00E5E3,6677,False,0,,,,,,,-9431,valid,001A15,FAST,-2754,1790096671.4406323,6677
-468,2.4313958000275306,282688.5873324,False,,00E5E3,6209,False,0,,,,,,,-8963,valid,001841,FAST,-2754,1790096671.6041222,6209
-440,2.594552199996542,282688.7505325,False,,00E5E3,5769,False,0,,,,,,,-8523,valid,001689,FAST,-2754,1790096671.7673218,5769
-454,2.7579135000123642,282688.9139711,False,,00E5E3,5315,False,0,,,,,,,-8069,valid,0014C3,FAST,-2754,1790096671.9307606,5315
-445,2.921265900018625,282689.0771284,False,,00E5E3,4870,False,0,,,,,,,-7624,valid,001306,FAST,-2754,1790096672.0939176,4870
-454,3.085137600020971,282689.2409386,False,,00E5E3,4416,False,0,,,,,,,-7170,valid,001140,FAST,-2754,1790096672.257728,4416
-446,3.248351000016555,282689.4044373,False,,00E5E3,3970,False,0,,,,,,,-6724,valid,000F82,FAST,-2754,1790096672.4212267,3970
