delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,280760.7130554,False,,,12084,False,0,,,,,,,-14713,valid-start,002F34,START,-2629,1790094743.729845,12084
-112,0.15017889998853207,280760.8889414,False,,00E5E3,11972,False,0,,,,,,,-14601,valid,002EC4,FAST,-2629,1790094743.9057307,11972
-339,0.3262838000082411,280761.0648386,False,,00E5E3,11633,False,0,,,,,,,-14262,valid,002D71,FAST,-2629,1790094744.0816278,11633
-464,0.5023164000012912,280761.240752,False,,00E5E3,11169,False,0,,,,,,,-13798,valid,002BA1,FAST,-2629,1790094744.2575414,11169
-484,0.6777771000051871,280761.4166147,False,,00E5E3,10685,False,0,,,,,,,-13314,valid,0029BD,FAST,-2629,1790094744.4334044,10685
-480,0.8536553999874741,280761.5926019,False,,00E5E3,10205,False,0,,,,,,,-12834,valid,0027DD,FAST,-2629,1790094744.60939,10205
-406,1.0299169999780133,280761.7684383,False,,00E5E3,9799,False,0,,,,,,,-12428,valid,002647,FAST,-2629,1790094744.7852275,9799
-404,1.2055268999538384,280761.944506,False,,00E5E3,9395,False,0,,,,,,,-12024,valid,0024B3,FAST,-2629,1790094744.961295,9395
-414,1.3816052000038326,280762.1202524,False,,00E5E3,8981,False,0,,,,,,,-11610,valid,002315,FAST,-2629,1790094745.1370418,8981
1659,1.5572667999658734,280762.2961377,False,,00E5E3,10640,False,0,,,,,,,-13269,valid-opposite-direction,002990,ABORT,-2629,1790094745.3129272,10640
