delta_counts,elapsed_s,note,payload_hex,raw_position,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,,,14109,-14713,valid-start,00371D,START,-604,1790024755.671335,14109
-160,0.1501603999931831,,00E5E3,13949,-14553,valid,00367D,FAST,-604,1790024755.8472652,13949
-368,0.32632719998946413,,00E5E3,13581,-14185,valid,00350D,FAST,-604,1790024756.0231712,13581
-409,0.5020159999839962,,00E5E3,13172,-13776,valid,003374,FAST,-604,1790024756.1990879,13172
-355,0.6779652999830432,,00E5E3,12817,-13421,valid,003211,FAST,-604,1790024756.3750074,12817
-243,0.8538350999879185,,00E5E3,12574,-13178,valid,00311E,FAST,-604,1790024756.550898,12574
-216,1.0296620999870356,,00E5E3,12358,-12962,valid,003046,FAST,-604,1790024756.7268279,12358
-303,1.2057766999932937,,00E5E3,12055,-12659,valid,002F17,FAST,-604,1790024756.902735,12055
-356,1.3814557000005152,,00E5E3,11699,-12303,valid,002DB3,FAST,-604,1790024757.0786147,11699
-386,1.5573298999806866,,00E5E3,11313,-11917,valid,002C31,FAST,-604,1790024757.254533,11313
-315,1.7332524999801535,,00E5E3,10998,-11602,valid,002AF6,FAST,-604,1790024757.4304338,10998
-368,1.9095609999785665,,00E5E3,10630,-11234,valid,002986,FAST,-604,1790024757.6063626,10630
-368,2.0850782000052277,,00E5E3,10262,-10866,valid,002816,FAST,-604,1790024757.7822363,10262
-352,2.2611703999864403,,00E5E3,9910,-10514,valid,0026B6,FAST,-604,1790024757.9581656,9910
-378,2.4368906999879982,,00E5E3,9532,-10136,valid,00253C,FAST,-604,1790024758.1340754,9532
-419,2.61279739998281,,00E5E3,9113,-9717,valid,002399,FAST,-604,1790024758.309976,9113
-421,2.7890502999944147,,00E5E3,8692,-9296,valid,0021F4,FAST,-604,1790024758.4858716,8692
-413,2.9647561000019778,,00E5E3,8279,-8883,valid,002057,FAST,-604,1790024758.6618094,8279
-457,3.1409857999824453,,00E5E3,7822,-8426,valid,001E8E,FAST,-604,1790024758.8377402,7822
-454,3.3165666999993846,,00E5E3,7368,-7972,valid,001CC8,FAST,-604,1790024759.0136302,7368
-490,3.492663299984997,,00E5E3,6878,-7482,valid,001ADE,FAST,-604,1790024759.1895459,6878
-442,3.668765499984147,,00E5E3,6436,-7040,valid,001924,FAST,-604,1790024759.3654504,6436
-475,3.844363699987298,,00E5E3,5961,-6565,valid,001749,FAST,-604,1790024759.5413287,5961
-490,4.0200693999940995,,00E5E3,5471,-6075,valid,00155F,FAST,-604,1790024759.7172642,5471
-478,4.19603309998638,,00E5E3,4993,-5597,valid,001381,FAST,-604,1790024759.893153,4993
-499,4.372201599995606,,00E5E3,4494,-5098,valid,00118E,FAST,-604,1790024760.069069,4494
-512,4.5477890000038315,,00E5E3,3982,-4586,valid,000F8E,FAST,-604,1790024760.2449634,3982
-372,4.723782099987147,,0072F1,3610,-4214,valid,000E1A,MEDIUM,-604,1790024760.4208744,3610
-121,4.899989199999254,,0072F1,3489,-4093,valid,000DA1,MEDIUM,-604,1790024760.59677,3489
-11,5.075696899992181,,0072F1,3478,-4082,valid,000D96,MEDIUM,-604,1790024760.772695,3478
-29,5.251408799987985,,0072F1,3449,-4053,valid,000D79,MEDIUM,-604,1790024760.9485915,3449
-19,5.42770999998902,,0072F1,3430,-4034,valid,000D66,MEDIUM,-604,1790024761.1244817,3430
-40,5.6031935999926645,,0072F1,3390,-3994,valid,000D3E,MEDIUM,-604,1790024761.3003957,3390
-29,5.779131899995264,,0072F1,3361,-3965,valid,000D21,MEDIUM,-604,1790024761.4763212,3361
-17,5.955051600001752,,0072F1,3344,-3948,valid,000D10,MEDIUM,-604,1790024761.6522396,3344
-23,6.13095219997922,,0072F1,3321,-3925,valid,000CF9,MEDIUM,-604,1790024761.8281057,3321
-52,6.307188699982362,,0072F1,3269,-3873,valid,000CC5,MEDIUM,-604,1790024762.0039966,3269
-23,6.4826986999833025,,0072F1,3246,-3850,valid,000CAE,MEDIUM,-604,1790024762.1798964,3246
-66,6.658725699991919,,0072F1,3180,-3784,valid,000C6C,MEDIUM,-604,1790024762.355816,3180
-89,6.834552199987229,,0072F1,3091,-3695,valid,000C13,MEDIUM,-604,1790024762.5317097,3091
-144,7.010602900001686,,0072F1,2947,-3551,valid,000B83,MEDIUM,-604,1790024762.7076254,2947
-118,7.186341299995547,,0072F1,2829,-3433,valid,000B0D,MEDIUM,-604,1790024762.8835287,2829
-107,7.3626599999843165,,0072F1,2722,-3326,valid,000AA2,MEDIUM,-604,1790024763.0594182,2722
-77,7.538129299995489,,0072F1,2645,-3249,valid,000A55,MEDIUM,-604,1790024763.2353408,2645
-110,7.71406030000071,,0072F1,2535,-3139,valid,0009E7,MEDIUM,-604,1790024763.4112275,2535
-137,7.890202499984298,,0072F1,2398,-3002,valid,00095E,MEDIUM,-604,1790024763.5871394,2398
-138,8.065889099991182,,0072F1,2260,-2864,valid,0008D4,MEDIUM,-604,1790024763.7630458,2260
-140,8.241761999990558,,0072F1,2120,-2724,valid,000848,MEDIUM,-604,1790024763.9389694,2120
-105,8.417871899990132,,0072F1,2015,-2619,valid,0007DF,MEDIUM,-604,1790024764.114873,2015
-177,8.59403619999648,,0072F1,1838,-2442,valid,00072E,MEDIUM,-604,1790024764.2907603,1838
-70,8.76959270000225,,003978,1768,-2372,valid,0006E8,FINE,-604,1790024764.4666774,1768
-2,8.945409899984952,,003978,1766,-2370,valid,0006E6,FINE,-604,1790024764.6425946,1766
0,9.12157039999147,,003978,1766,-2370,valid,0006E6,FINE,-604,1790024764.8185158,1766
-4,9.297233899997082,,003978,1762,-2366,valid,0006E2,FINE,-604,1790024764.9944093,1762
-6,9.473307099979138,,003978,1756,-2360,valid,0006DC,FINE,-604,1790024765.170363,1756
-6,9.649565200001234,,003978,1750,-2354,valid,0006D6,FINE,-604,1790024765.3462317,1750
-4,9.82495349997771,,003978,1746,-2350,valid,0006D2,FINE,-604,1790024765.5221407,1746
-2,10.000873499986483,,003978,1744,-2348,valid,0006D0,FINE,-604,1790024765.6980693,1744
-2,10.177108699979726,,003978,1742,-2346,valid,0006CE,FINE,-604,1790024765.873955,1742
0,10.35307909999392,,003978,1742,-2346,valid,0006CE,FINE,-604,1790024766.0498705,1742
-1,10.528813199984143,,003978,1741,-2345,valid,0006CD,FINE,-604,1790024766.2257745,1741
-1,10.704511599993566,,003978,1740,-2344,valid,0006CC,FINE,-604,1790024766.4016933,1740
0,10.880403399991337,,003978,1740,-2344,valid,0006CC,FINE,-604,1790024766.5775795,1740
0,11.056294399983017,,003978,1740,-2344,valid,0006CC,FINE,-604,1790024766.753507,1740
0,11.232235899980878,,003978,1740,-2344,valid,0006CC,FINE,-604,1790024766.9293988,1740
0,11.408491499983938,,003978,1740,-2344,valid,0006CC,FINE,-604,1790024767.1053154,1740
-1,11.584030199999688,,003978,1739,-2343,valid,0006CB,FINE,-604,1790024767.2812724,1739
-7,11.760406599991256,,003978,1732,-2336,valid,0006C4,FINE,-604,1790024767.4571698,1732
-9,11.935891200002516,,003978,1723,-2327,valid,0006BB,FINE,-604,1790024767.633073,1723
-2,12.111787500005448,,003978,1721,-2325,valid,0006B9,FINE,-604,1790024767.8090057,1721
-14,12.287719799991464,,003978,1707,-2311,valid,0006AB,FINE,-604,1790024767.984904,1707
-28,12.463622799987206,,003978,1679,-2283,valid,00068F,FINE,-604,1790024768.1608095,1679
-27,12.639713999989908,,003978,1652,-2256,valid,000674,FINE,-604,1790024768.3367798,1652
-8,12.815711599978385,,003978,1644,-2248,valid,00066C,FINE,-604,1790024768.5126388,1644
-12,12.991769899992505,,003978,1632,-2236,valid,000660,FINE,-604,1790024768.6885407,1632
-40,13.167254700005287,,003978,1592,-2196,valid,000638,FINE,-604,1790024768.86444,1592
-48,13.343395499978215,,003978,1544,-2148,valid,000608,FINE,-604,1790024769.0403547,1544
-52,13.519468099984806,,003978,1492,-2096,valid,0005D4,FINE,-604,1790024769.2162514,1492
-65,13.694968399999198,,003978,1427,-2031,valid,000593,FINE,-604,1790024769.3922172,1427
-88,13.870923599984962,,003978,1339,-1943,valid,00053B,FINE,-604,1790024769.568079,1339
-97,14.046794800000498,,003978,1242,-1846,valid,0004DA,FINE,-604,1790024769.7440076,1242
-63,14.22273189999396,,003978,1179,-1783,valid,00049B,FINE,-604,1790024769.919942,1179
-90,14.398652200005017,,003978,1089,-1693,valid,000441,FINE,-604,1790024770.0958166,1089
-132,14.574698799988255,,003978,957,-1561,valid,0003BD,FINE,-604,1790024770.2717416,957
-137,14.750785499985795,,003978,820,-1424,valid,000334,FINE,-604,1790024770.4476402,820
-132,14.926705099991523,,003978,688,-1292,valid,0002B0,FINE,-604,1790024770.6235564,688
-112,15.102308300003642,,003978,576,-1180,valid,000240,FINE,-604,1790024770.7994416,576
-168,15.27816200000234,,003978,408,-1012,valid,000198,FINE,-604,1790024770.975382,408
-166,15.454273199982708,,003978,242,-846,valid,0000F2,FINE,-604,1790024771.1512837,242
-54,15.630105499993078,,002000,188,-792,valid,0000BC,SLOW,-604,1790024771.3271844,188
0,15.805920899991179,,002000,188,-792,valid,0000BC,SLOW,-604,1790024771.5030797,188
0,15.982278799987398,,002000,188,-792,valid,0000BC,SLOW,-604,1790024771.679002,188
0,16.157712299987907,,002000,188,-792,valid,0000BC,SLOW,-604,1790024771.85491,188
0,16.33384149998892,,002000,188,-792,valid,0000BC,SLOW,-604,1790024772.0308356,188
0,16.509542799991323,,002000,188,-792,valid,0000BC,SLOW,-604,1790024772.2067695,188
0,16.685490100004245,,002000,188,-792,valid,0000BC,SLOW,-604,1790024772.3826516,188
-1,16.861369399994146,,002000,187,-791,valid,0000BB,SLOW,-604,1790024772.5585694,187
-5,17.03728140000021,,002000,182,-786,valid,0000B6,SLOW,-604,1790024772.7344549,182
-4,17.21317010000348,,002000,178,-782,valid,0000B2,SLOW,-604,1790024772.910361,178
-3,17.3891085999785,,002000,175,-779,valid,0000AF,SLOW,-604,1790024773.0863266,175
-1,17.56504099999438,,002000,174,-778,valid,0000AE,SLOW,-604,1790024773.2621982,174
-3,17.740921699994942,,002000,171,-775,valid,0000AB,SLOW,-604,1790024773.4381168,171
-3,17.916830500005744,,002000,168,-772,valid,0000A8,SLOW,-604,1790024773.614086,168
-2,18.092798099998618,,002000,166,-770,valid,0000A6,SLOW,-604,1790024773.7899415,166
-5,18.26867679998395,,002000,161,-765,valid,0000A1,SLOW,-604,1790024773.9658465,161
-7,18.444927300006384,,002000,154,-758,valid,00009A,SLOW,-604,1790024774.1417446,154
-3,18.620469499990577,,002000,151,-755,valid,000097,SLOW,-604,1790024774.3176768,151
-4,18.79641179999453,,002000,147,-751,valid,000093,SLOW,-604,1790024774.4935784,147
-9,18.972309999982826,,002000,138,-742,valid,00008A,SLOW,-604,1790024774.669499,138
-10,19.148233999992954,,002000,128,-732,valid,000080,SLOW,-604,1790024774.8454032,128
-6,19.324579599982826,,002000,122,-726,valid,00007A,SLOW,-604,1790024775.0212858,122
-2,19.500009299983503,,002000,120,-724,valid,000078,SLOW,-604,1790024775.1972065,120
0,19.675968499999726,,002000,120,-724,valid,000078,SLOW,-604,1790024775.3731298,120
0,19.852041999984067,,002000,120,-724,valid,000078,SLOW,-604,1790024775.5490205,120
0,20.028122599993367,,002000,120,-724,valid,000078,SLOW,-604,1790024775.7249165,120
-7,20.203677899989998,,002000,113,-717,valid,000071,SLOW,-604,1790024775.9008143,113
-10,20.37954609998269,,002000,103,-707,valid,000067,SLOW,-604,1790024776.076752,103
-1,20.55546819997835,,002000,102,-706,valid,000066,SLOW,-604,1790024776.2526526,102
-14,20.731369999994058,,002000,88,-692,valid,000058,SLOW,-604,1790024776.4285748,88
-15,20.907283799984725,,002000,73,-677,valid,000049,SLOW,-604,1790024776.604485,73
-19,21.083504499983974,,002000,54,-658,valid,000036,SLOW,-604,1790024776.7803903,54
-36,21.259119599999394,,002000,18,-622,valid,000012,SLOW,-604,1790024776.9563031,18
-37,21.435398100002203,,002000,1059309,-585,valid,1029ED,SLOW,-604,1790024777.132223,-19
-53,21.61092879998614,,002000,1059256,-532,valid,1029B8,SLOW,-604,1790024777.308152,-72
-35,21.787033500004327,,002000,1059221,-497,valid,102995,SLOW,-604,1790024777.4840727,-107
-59,21.962787800002843,,002000,1059162,-438,valid,10295A,SLOW,-604,1790024777.6599476,-166
-69,22.13866009999765,,002000,1059093,-369,valid,102915,SLOW,-604,1790024777.8358524,-235
-58,22.31492619999335,,002000,1059035,-311,valid,1028DB,SLOW,-604,1790024778.0117805,-293
-57,22.490870699984953,,002000,1058978,-254,valid,1028A2,SLOW,-604,1790024778.1876776,-350
-18,22.717176100006327,,002000,1058960,-236,valid,102890,SLOW,-604,1790024778.4115505,-368
0,22.89052659997833,,002000,1058960,-236,valid,102890,SLOW,-604,1790024778.5874796,-368
0,23.066185799980303,,002000,1058960,-236,valid,102890,SLOW,-604,1790024778.7633727,-368
0,23.24209349998273,,002000,1058960,-236,valid,102890,SLOW,-604,1790024778.9392862,-368
0,23.41836609999882,,002000,1058960,-236,valid,102890,SLOW,-604,1790024779.1152136,-368
