delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,284093.6349287,False,,,1056801,False,0,,,,,,,14713,valid-start,102021,START,1071514,1790098076.6517184,1056801
112,0.1504465999896638,284093.8109447,False,,00E5E3,1056913,False,0,,,,,,,14601,valid,102091,FAST,1071514,1790098076.827734,1056913
326,0.3263994000153616,284093.9869415,False,,00E5E3,1057239,False,0,,,,,,,14275,valid,1021D7,FAST,1071514,1790098077.003731,1057239
455,0.5022462999913841,284094.1629241,False,,00E5E3,1057694,False,0,,,,,,,13820,valid,10239E,FAST,1071514,1790098077.1797132,1057694
466,0.6783841999713331,284094.3383313,False,,00E5E3,1058160,False,0,,,,,,,13354,valid,102570,FAST,1071514,1790098077.3551207,1058160
484,0.8534796999883838,284094.5143548,False,,00E5E3,1058644,False,0,,,,,,,12870,valid,102754,FAST,1071514,1790098077.5311437,1058644
490,1.0296942999702878,284094.6903327,False,,00E5E3,1059134,False,0,,,,,,,12380,valid,10293E,FAST,1071514,1790098077.707122,1059134
478,1.2058267999673262,284094.8663497,False,,00E5E3,284,False,0,,,,,,,11902,valid,00011C,FAST,1071514,1790098077.8831384,1059612
477,1.3815941999782808,284095.0423023,False,,00E5E3,761,False,0,,,,,,,11425,valid,0002F9,FAST,1071514,1790098078.0590916,1060089
495,1.5574272000230849,284095.2183146,False,,00E5E3,1256,False,0,,,,,,,10930,valid,0004E8,FAST,1071514,1790098078.235104,1060584
500,1.7338932999991812,284095.3938785,False,,00E5E3,1756,False,0,,,,,,,10430,valid,0006DC,FAST,1071514,1790098078.4106677,1061084
475,1.9091452999855392,284095.5698807,False,,00E5E3,2231,False,0,,,,,,,9955,valid,0008B7,FAST,1071514,1790098078.58667,1061559
489,2.0851499999989755,284095.7458658,False,,00E5E3,2720,False,0,,,,,,,9466,valid,000AA0,FAST,1071514,1790098078.762655,1062048
499,2.2613834000076167,284095.9219061,False,,00E5E3,3219,False,0,,,,,,,8967,valid,000C93,FAST,1071514,1790098078.9386947,1062547
