delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,261018.2440903,False,,,232671,False,0,,,,,,,14713,valid-start,038CDF,START,247384,1790075001.2608795,232671
116,0.15041780000319704,261018.4200972,False,,00E5E3,232787,False,0,,,,,,,14597,valid,038D53,FAST,247384,1790075001.4368854,232787
239,0.3261097999929916,261018.5958943,False,,00E5E3,233026,False,0,,,,,,,14358,valid,038E42,FAST,247384,1790075001.6126838,233026
347,0.5018999000021722,261018.7717722,False,,00E5E3,233373,False,0,,,,,,,14011,valid,038F9D,FAST,247384,1790075001.7885616,233373
399,0.6777396000106819,261018.9476983,False,,00E5E3,233772,False,0,,,,,,,13612,valid,03912C,FAST,247384,1790075001.9644878,233772
501,0.8536792999948375,261019.1236065,False,,00E5E3,234273,False,0,,,,,,,13111,valid,039321,FAST,247384,1790075002.140396,234273
521,1.0299667000072077,261019.2995478,False,,00E5E3,234794,False,0,,,,,,,12590,valid,03952A,FAST,247384,1790075002.3163366,234794
447,1.2056774999946356,261019.4754613,False,,00E5E3,235241,False,0,,,,,,,12143,valid,0396E9,FAST,247384,1790075002.4922502,235241
479,1.3816636000119615,261019.6514314,False,,00E5E3,235720,False,0,,,,,,,11664,valid,0398C8,FAST,247384,1790075002.6682208,235720
481,1.5577048000122886,261019.8272678,False,,00E5E3,236201,False,0,,,,,,,11183,valid,039AA9,FAST,247384,1790075002.8440566,236201
486,1.7332661999971606,261020.0031931,False,,00E5E3,236687,False,0,,,,,,,10697,valid,039C8F,FAST,247384,1790075003.0199826,236687
487,1.9092144999885932,261020.1790931,False,,00E5E3,237174,False,0,,,,,,,10210,valid,039E76,FAST,247384,1790075003.1958826,237174
478,2.0851555000117514,261020.354972,False,,00E5E3,237652,False,0,,,,,,,9732,valid,03A054,FAST,247384,1790075003.3717613,237652
509,2.261014299991075,261020.5309049,False,,00E5E3,238161,False,0,,,,,,,9223,valid,03A251,FAST,247384,1790075003.5476947,238161
566,2.4368874999927357,261020.7068264,False,,00E5E3,238727,False,0,,,,,,,8657,valid,03A487,FAST,247384,1790075003.7236164,238727
607,2.615064000012353,261020.8827984,False,,00E5E3,239334,False,0,,,,,,,8050,valid,03A6E6,FAST,247384,1790075003.8995867,239334
535,2.7892263999965508,261021.0586484,False,,00E5E3,239869,False,0,,,,,,,7515,valid,03A8FD,FAST,247384,1790075004.0754378,239869
589,2.964656500000274,261021.2345704,False,,00E5E3,240458,False,0,,,,,,,6926,valid,03AB4A,FAST,247384,1790075004.2513597,240458
