delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,261163.9169761,False,,,232584,False,0,,,,,,,14713,valid-start,038C88,START,247297,1790075146.933766,232584
140,0.15020930001628585,261164.092911,False,,00E5E3,232724,False,0,,,,,,,14573,valid,038D14,FAST,247297,1790075147.1097002,232724
276,0.3265194999985397,261164.2687926,False,,00E5E3,233000,False,0,,,,,,,14297,valid,038E28,FAST,247297,1790075147.285582,233000
391,0.5018814000068232,261164.4447185,False,,00E5E3,233391,False,0,,,,,,,13906,valid,038FAF,FAST,247297,1790075147.4615076,233391
399,0.6781393999990541,261164.620644,False,,00E5E3,233790,False,0,,,,,,,13507,valid,03913E,FAST,247297,1790075147.6374326,233790
344,0.8537512999901082,261164.7965201,False,,00E5E3,234134,False,0,,,,,,,13163,valid,039296,FAST,247297,1790075147.8133092,234134
350,1.0300639999913983,261164.9724504,False,,00E5E3,234484,False,0,,,,,,,12813,valid,0393F4,FAST,247297,1790075147.989239,234484
385,1.2057212000072468,261165.1483463,False,,00E5E3,234869,False,0,,,,,,,12428,valid,039575,FAST,247297,1790075148.1651347,234869
408,1.3814393999928143,261165.3242424,False,,00E5E3,235277,False,0,,,,,,,12020,valid,03970D,FAST,247297,1790075148.3410318,235277
443,1.5573542999918573,261165.5001424,False,,00E5E3,235720,False,0,,,,,,,11577,valid,0398C8,FAST,247297,1790075148.5169318,235720
410,1.7332296000095084,261165.676043,False,,00E5E3,236130,False,0,,,,,,,11167,valid,039A62,FAST,247297,1790075148.6928322,236130
481,1.9095936999947298,261165.8519639,False,,00E5E3,236611,False,0,,,,,,,10686,valid,039C43,FAST,247297,1790075148.8687532,236611
481,2.0850652999943122,261166.0278834,False,,00E5E3,237092,False,0,,,,,,,10205,valid,039E24,FAST,247297,1790075149.0446725,237092
488,2.2611673999927007,261166.2037998,False,,00E5E3,237580,False,0,,,,,,,9717,valid,03A00C,FAST,247297,1790075149.2205894,237580
