delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,261524.3870716,False,,,232601,False,0,,,,,,,14713,valid-start,038C99,START,247314,1790075507.4038613,232601
121,0.1502143999969121,261524.562951,False,,00E5E3,232722,False,0,,,,,,,14592,valid,038D12,FAST,247314,1790075507.5797405,232722
312,0.3262336000043433,261524.7388694,False,,00E5E3,233034,False,0,,,,,,,14280,valid,038E4A,FAST,247314,1790075507.755659,233034
364,0.5023141000128817,261524.9147779,False,,00E5E3,233398,False,0,,,,,,,13916,valid,038FB6,FAST,247314,1790075507.9315674,233398
412,0.6777736000076402,261525.0907115,False,,00E5E3,233810,False,0,,,,,,,13504,valid,039152,FAST,247314,1790075508.1075003,233810
451,0.8538455000089016,261525.266615,False,,00E5E3,234261,False,0,,,,,,,13053,valid,039315,FAST,247314,1790075508.2834044,234261
498,1.0297036000119988,261525.4425793,False,,00E5E3,234759,False,0,,,,,,,12555,valid,039507,FAST,247314,1790075508.4593678,234759
471,1.2058381999959238,261525.6184917,False,,00E5E3,235230,False,0,,,,,,,12084,valid,0396DE,FAST,247314,1790075508.6352806,235230
490,1.3822307000227738,261525.7943738,False,,00E5E3,235720,False,0,,,,,,,11594,valid,0398C8,FAST,247314,1790075508.811163,235720
478,1.5576718000229448,261525.9703858,False,,00E5E3,236198,False,0,,,,,,,11116,valid,039AA6,FAST,247314,1790075508.987175,236198
499,1.7336527000006754,261526.1461875,False,,00E5E3,236697,False,0,,,,,,,10617,valid,039C99,FAST,247314,1790075509.162977,236697
480,1.9095567000040319,261526.3221079,False,,00E5E3,237177,False,0,,,,,,,10137,valid,039E79,FAST,247314,1790075509.3388975,237177
528,2.085509500000626,261526.4980209,False,,00E5E3,237705,False,0,,,,,,,9609,valid,03A089,FAST,247314,1790075509.5148106,237705
