delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,282669.4153493,False,,,1059254,False,0,,,,,,,14713,valid-start,1029B6,START,1073967,1790096652.4321387,1059254
134,0.15029890002915636,282669.5781481,False,,00E5E3,60,False,0,,,,,,,14579,valid,00003C,FAST,1073967,1790096652.5949378,1059388
274,0.3130519000114873,282669.7405965,False,,00E5E3,334,False,0,,,,,,,14305,valid,00014E,FAST,1073967,1790096652.7573857,1059662
392,0.47557000000961125,282669.9033814,False,,00E5E3,726,False,0,,,,,,,13913,valid,0002D6,FAST,1073967,1790096652.920171,1060054
412,0.6383192000212148,282670.0659021,False,,00E5E3,1138,False,0,,,,,,,13501,valid,000472,FAST,1073967,1790096653.0826907,1060466
421,0.8007442000089213,282670.2283363,False,,00E5E3,1559,False,0,,,,,,,13080,valid,000617,FAST,1073967,1790096653.2451258,1060887
426,0.9632232000003569,282670.3907892,False,,00E5E3,1985,False,0,,,,,,,12654,valid,0007C1,FAST,1073967,1790096653.407579,1061313
419,1.1257675000233576,282670.5536043,False,,00E5E3,2404,False,0,,,,,,,12235,valid,000964,FAST,1073967,1790096653.5703938,1061732
432,1.2887268000049517,282670.7164041,False,,00E5E3,2836,False,0,,,,,,,11803,valid,000B14,FAST,1073967,1790096653.733193,1062164
460,1.4513283999986015,282670.8795504,False,,00E5E3,3296,False,0,,,,,,,11343,valid,000CE0,FAST,1073967,1790096653.896339,1062624
443,1.6143670000019483,282671.0426684,False,,00E5E3,3739,False,0,,,,,,,10900,valid,000E9B,FAST,1073967,1790096654.0594578,1063067
450,1.777698900026735,282671.2058408,False,,00E5E3,4189,False,0,,,,,,,10450,valid,00105D,FAST,1073967,1790096654.2226303,1063517
452,1.940667700022459,282671.3689653,False,,00E5E3,4641,False,0,,,,,,,9998,valid,001221,FAST,1073967,1790096654.3857543,1063969
441,2.103705400018953,282671.5321417,False,,00E5E3,5082,False,0,,,,,,,9557,valid,0013DA,FAST,1073967,1790096654.5489311,1064410
454,2.267197200038936,282671.6955934,False,,00E5E3,5536,False,0,,,,,,,9103,valid,0015A0,FAST,1073967,1790096654.712383,1064864
451,2.430697500007227,282671.8591028,False,,00E5E3,5987,False,0,,,,,,,8652,valid,001763,FAST,1073967,1790096654.8758917,1065315
449,2.59407769999234,282672.0222388,False,,00E5E3,6436,False,0,,,,,,,8203,valid,001924,FAST,1073967,1790096655.0390282,1065764
446,2.7570231000427157,282672.1853781,False,,00E5E3,6882,False,0,,,,,,,7757,valid,001AE2,FAST,1073967,1790096655.2021677,1066210
452,2.920110900013242,282672.3491977,False,,00E5E3,7334,False,0,,,,,,,7305,valid,001CA6,FAST,1073967,1790096655.3659873,1066662
450,3.084322200040333,282672.5130871,False,,00E5E3,7784,False,0,,,,,,,6855,valid,001E68,FAST,1073967,1790096655.5298755,1067112
446,3.248112500004936,282672.6765326,False,,00E5E3,8230,False,0,,,,,,,6409,valid,002026,FAST,1073967,1790096655.693322,1067558
458,3.411649000016041,282672.8407303,False,,00E5E3,8688,False,0,,,,,,,5951,valid,0021F0,FAST,1073967,1790096655.857519,1068016
455,3.575750900025014,282673.0045561,False,,00E5E3,9143,False,0,,,,,,,5496,valid,0023B7,FAST,1073967,1790096656.0213456,1068471
491,3.739701500046067,282673.1680241,False,,00E5E3,9634,False,0,,,,,,,5005,valid,0025A2,FAST,1073967,1790096656.1848137,1068962
507,3.902737000025809,282673.3304735,False,,00E5E3,10141,False,0,,,,,,,4498,valid,00279D,FAST,1073967,1790096656.3472629,1069469
429,4.06590220000362,282673.4940135,False,,0072F1,10570,False,0,,,,,,,4069,valid,00294A,MEDIUM,1073967,1790096656.510802,1069898
241,4.2287419000058435,282673.6564376,False,,0072F1,10811,False,0,,,,,,,3828,valid,002A3B,MEDIUM,1073967,1790096656.6732268,1070139
115,4.391538700030651,282673.8192885,False,,0072F1,10926,False,0,,,,,,,3713,valid,002AAE,MEDIUM,1073967,1790096656.8360767,1070254
76,4.554027600039262,282673.9817066,False,,0072F1,11002,False,0,,,,,,,3637,valid,002AFA,MEDIUM,1073967,1790096656.998496,1070330
56,4.71680610004114,282674.1449133,False,,0072F1,11058,False,0,,,,,,,3581,valid,002B32,MEDIUM,1073967,1790096657.1617017,1070386
60,4.880015200003982,282674.3076809,False,,0072F1,11118,False,0,,,,,,,3521,valid,002B6E,MEDIUM,1073967,1790096657.3244696,1070446
61,5.042438300035428,282674.4701046,False,,0072F1,11179,False,0,,,,,,,3460,valid,002BAB,MEDIUM,1073967,1790096657.4868941,1070507
74,5.204823400010355,282674.6332548,False,,0072F1,11253,False,0,,,,,,,3386,valid,002BF5,MEDIUM,1073967,1790096657.6500444,1070581
67,5.368053600017447,282674.7957857,False,,0072F1,11320,False,0,,,,,,,3319,valid,002C38,MEDIUM,1073967,1790096657.8125749,1070648
76,5.530530499992892,282674.9581791,False,,0072F1,11396,False,0,,,,,,,3243,valid,002C84,MEDIUM,1073967,1790096657.9749684,1070724
80,5.692891900020186,282675.1247391,False,,0072F1,11476,False,0,,,,,,,3163,valid,002CD4,MEDIUM,1073967,1790096658.1415286,1070804
71,5.8595001000212505,282675.2872229,False,,0072F1,11547,False,0,,,,,,,3092,valid,002D1B,MEDIUM,1073967,1790096658.3040118,1070875
107,6.022294600028545,282675.4504385,False,,0072F1,11654,False,0,,,,,,,2985,valid,002D86,MEDIUM,1073967,1790096658.467227,1070982
129,6.185189600044396,282675.6162313,False,,0072F1,11783,False,0,,,,,,,2856,valid,002E07,MEDIUM,1073967,1790096658.6330206,1071111
120,6.351304100011475,282675.779406,False,,0072F1,11903,False,0,,,,,,,2736,valid,002E7F,MEDIUM,1073967,1790096658.7961943,1071231
165,6.5141394000384025,282675.9418406,False,,0072F1,12068,False,0,,,,,,,2571,valid,002F24,MEDIUM,1073967,1790096658.9586298,1071396
194,6.677060900023207,282676.1080665,False,,0072F1,12262,False,0,,,,,,,2377,valid,002FE6,MEDIUM,1073967,1790096659.1248553,1071590
64,6.842885599995498,282676.270857,False,,003978,12326,False,0,,,,,,,2313,valid,003026,FINE,1073967,1790096659.2876468,1071654
3,7.005591100023594,282676.433322,False,,003978,12329,False,0,,,,,,,2310,valid,003029,FINE,1073967,1790096659.4501116,1071657
161,7.16805390000809,282676.5991992,False,,003978,12490,False,0,,,,,,,2149,valid,0030CA,FINE,1073967,1790096659.6159887,1071818
-161,7.334279800008517,282676.7616732,False,raw logged; trusted position unchanged; awaiting next valid reply,003978,12329,False,0,,,,,,,2149,valid-opposite-pending,003029,OPPOSITE_PENDING,1073967,1790096659.7784631,1071818
-160,7.4963816000381485,282676.9241011,False,second reverse-direction reply relative to trusted position,003978,12330,False,0,,,,,,,2149,valid-opposite-confirmed,00302A,ABORT,1073967,1790096659.9408908,1071818
