delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,280737.2921672,False,,,1,False,0,,,,,,,14713,valid-start,000001,START,14714,1790094720.3089566,1
84,0.15049559995532036,280737.468105,False,,00E5E3,85,False,0,,,,,,,14629,valid,000055,FAST,14714,1790094720.4848938,85
257,0.3260419999714941,280737.6439295,False,,00E5E3,342,False,0,,,,,,,14372,valid,000156,FAST,14714,1790094720.660719,342
394,0.5018679999629967,280737.8198355,False,,00E5E3,736,False,0,,,,,,,13978,valid,0002E0,FAST,14714,1790094720.8366249,736
401,0.6781429999973625,280737.9957584,False,,00E5E3,1137,False,0,,,,,,,13577,valid,000471,FAST,14714,1790094721.012547,1137
393,0.8536636999924667,280738.1716501,False,,00E5E3,1530,False,0,,,,,,,13184,valid,0005FA,FAST,14714,1790094721.1884398,1530
428,1.02955400000792,280738.3475487,False,,00E5E3,1958,False,0,,,,,,,12756,valid,0007A6,FAST,14714,1790094721.3643382,1958
450,1.2058082000003196,280738.5234663,False,,00E5E3,2408,False,0,,,,,,,12306,valid,000968,FAST,14714,1790094721.5402548,2408
441,1.3818241999833845,280738.6993634,False,,00E5E3,2849,False,0,,,,,,,11865,valid,000B21,FAST,14714,1790094721.716152,2849
506,1.5576245000120252,280738.875247,False,,00E5E3,3355,False,0,,,,,,,11359,valid,000D1B,FAST,14714,1790094721.8920362,3355
500,1.733353499963414,280739.0511573,False,,00E5E3,3855,False,0,,,,,,,10859,valid,000F0F,FAST,14714,1790094722.0679467,3855
469,1.909190899983514,280739.2270844,False,,00E5E3,4324,False,0,,,,,,,10390,valid,0010E4,FAST,14714,1790094722.2438736,4324
470,2.085273500008043,280739.4029805,False,,00E5E3,4794,False,0,,,,,,,9920,valid,0012BA,FAST,14714,1790094722.4197705,4794
513,2.2608909999835305,280739.5788922,False,,00E5E3,5307,False,0,,,,,,,9407,valid,0014BB,FAST,14714,1790094722.595682,5307
499,2.4367944999830797,280739.7547471,False,,00E5E3,5806,False,0,,,,,,,8908,valid,0016AE,FAST,14714,1790094722.7715368,5806
532,2.6126282999757677,280739.9306598,False,,00E5E3,6338,False,0,,,,,,,8376,valid,0018C2,FAST,14714,1790094722.9474497,6338
565,2.7885651999968104,280740.1065614,False,,00E5E3,6903,False,0,,,,,,,7811,valid,001AF7,FAST,14714,1790094723.1233509,6903
575,2.9648333999793977,280740.2824883,False,,00E5E3,7478,False,0,,,,,,,7236,valid,001D36,FAST,14714,1790094723.2992775,7478
586,3.140383199963253,280740.4583665,False,,00E5E3,8064,False,0,,,,,,,6650,valid,001F80,FAST,14714,1790094723.475156,8064
526,3.3166181999840774,280740.6342962,False,,00E5E3,8590,False,0,,,,,,,6124,valid,00218E,FAST,14714,1790094723.6510859,8590
598,3.492380899959244,280740.8101573,False,,00E5E3,9188,False,0,,,,,,,5526,valid,0023E4,FAST,14714,1790094723.8269467,9188
630,3.668330399959814,280740.9860965,False,,00E5E3,9818,False,0,,,,,,,4896,valid,00265A,FAST,14714,1790094724.0028858,9818
,3.844096399960108,280741.1619645,False,,0072F1,2107472,False,0,,,,,,,4896,malformed-outside-modulus,202850,INVALID,14714,1790094724.1787546,9818
763,4.020136500010267,280741.337874,False,,0072F1,10581,False,0,,,,,,,4133,valid,002955,MEDIUM,14714,1790094724.3546631,10581
136,4.196220399986487,280741.5138008,False,,0072F1,10717,False,0,,,,,,,3997,valid,0029DD,MEDIUM,14714,1790094724.53059,10717
98,4.371865699999034,280741.6896843,False,,0072F1,10815,False,0,,,,,,,3899,valid,002A3F,MEDIUM,14714,1790094724.706474,10815
73,4.547821899992414,280741.8655735,False,,0072F1,10888,False,0,,,,,,,3826,valid,002A88,MEDIUM,14714,1790094724.8823633,10888
60,4.723452400008682,280742.0415122,False,,0072F1,10948,False,0,,,,,,,3766,valid,002AC4,MEDIUM,14714,1790094725.058302,10948
81,4.899405999982264,280742.2173843,False,,0072F1,11029,False,0,,,,,,,3685,valid,002B15,MEDIUM,14714,1790094725.2341735,11029
100,5.075295899994671,280742.3933136,False,,0072F1,11129,False,0,,,,,,,3585,valid,002B79,MEDIUM,14714,1790094725.410103,11129
101,5.25121700001182,280742.5692124,False,,0072F1,11230,False,0,,,,,,,3484,valid,002BDE,MEDIUM,14714,1790094725.5860019,11230
82,5.427109699987341,280742.7451249,False,,0072F1,11312,False,0,,,,,,,3402,valid,002C30,MEDIUM,14714,1790094725.7619147,11312
132,5.603044699993916,280742.9210317,False,,0072F1,11444,False,0,,,,,,,3270,valid,002CB4,MEDIUM,14714,1790094725.937821,11444
106,5.7792686999891885,280743.0969176,False,,0072F1,11550,False,0,,,,,,,3164,valid,002D1E,MEDIUM,14714,1790094726.113707,11550
132,5.954853200004436,280743.2728562,False,,0072F1,11682,False,0,,,,,,,3032,valid,002DA2,MEDIUM,14714,1790094726.2896447,11682
158,6.131078800011892,280743.4487445,False,,0072F1,11840,False,0,,,,,,,2874,valid,002E40,MEDIUM,14714,1790094726.465534,11840
169,6.3070836999686435,280743.6246608,False,,0072F1,12009,False,0,,,,,,,2705,valid,002EE9,MEDIUM,14714,1790094726.64145,12009
200,6.482571100001223,280743.8005667,False,,0072F1,12209,False,0,,,,,,,2505,valid,002FB1,MEDIUM,14714,1790094726.8173559,12209
199,6.658817999996245,280743.9764642,False,,0072F1,12408,False,0,,,,,,,2306,valid,003078,MEDIUM,14714,1790094726.9932535,12408
93,6.8344486999558285,280744.1523927,False,,003978,12501,False,0,,,,,,,2213,valid,0030D5,FINE,14714,1790094727.1691816,12501
5,7.010294699983206,280744.3283301,False,,003978,12506,False,0,,,,,,,2208,valid,0030DA,FINE,14714,1790094727.3451195,12506
2,7.1865495999809355,280744.5042504,False,,003978,12508,False,0,,,,,,,2206,valid,0030DC,FINE,14714,1790094727.5210397,12508
257,7.362295900005847,280744.6801078,False,,003978,12765,False,0,,,,,,,1949,valid,0031DD,FINE,14714,1790094727.6968968,12765
-256,7.538316099962685,280744.8560206,False,,003978,12509,False,0,,,,,,,2205,valid-opposite-direction,0030DD,ABORT,14714,1790094727.8728092,12509
