delta_counts,elapsed_s,note,payload_hex,raw_position,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,,,1,14713,valid-start,000001,START,14714,1790024691.430561,1
136,0.15017159999115393,,00E5E3,137,14577,valid,000089,FAST,14714,1790024691.606435,137
236,0.32593389999237843,,00E5E3,373,14341,valid,000175,FAST,14714,1790024691.7823017,373
364,0.5019250999903306,,00E5E3,737,13977,valid,0002E1,FAST,14714,1790024691.958234,737
429,0.6779391000163741,,00E5E3,1166,13548,valid,00048E,FAST,14714,1790024692.13421,1166
413,0.853996299993014,,00E5E3,1579,13135,valid,00062B,FAST,14714,1790024692.3100445,1579
480,1.030030199995963,,00E5E3,2059,12655,valid,00080B,FAST,14714,1790024692.4859712,2059
476,1.2055538000131492,,00E5E3,2535,12179,valid,0009E7,FAST,14714,1790024692.6619134,2535
486,1.3818659000098705,,00E5E3,3021,11693,valid,000BCD,FAST,14714,1790024692.8378313,3021
491,1.5578121000144165,,00E5E3,3512,11202,valid,000DB8,FAST,14714,1790024693.013694,3512
479,1.733177699992666,,00E5E3,3991,10723,valid,000F97,FAST,14714,1790024693.1896281,3991
477,1.9091230999911204,,00E5E3,4468,10246,valid,001174,FAST,14714,1790024693.365506,4468
488,2.0850180000124965,,00E5E3,4956,9758,valid,00135C,FAST,14714,1790024693.5414493,4956
491,2.2609886999998707,,00E5E3,5447,9267,valid,001547,FAST,14714,1790024693.7173576,5447
522,2.4373051000002306,,00E5E3,5969,8745,valid,001751,FAST,14714,1790024693.8932366,5969
543,2.6127242000075057,,00E5E3,6512,8202,valid,001970,FAST,14714,1790024694.0691545,6512
533,2.788687899999786,,00E5E3,7045,7669,valid,001B85,FAST,14714,1790024694.24503,7045
486,2.9646888000133913,,00E5E3,7531,7183,valid,001D6B,FAST,14714,1790024694.4209542,7531
530,3.1409391000051983,,00E5E3,8061,6653,valid,001F7D,FAST,14714,1790024694.5968711,8061
551,3.316676499991445,,00E5E3,8612,6102,valid,0021A4,FAST,14714,1790024694.7727575,8612
567,3.4922416000044905,,00E5E3,9179,5535,valid,0023DB,FAST,14714,1790024694.9486837,9179
525,3.6681776999903377,,00E5E3,9704,5010,valid,0025E8,FAST,14714,1790024695.1245682,9704
556,3.844137200008845,,00E5E3,10260,4454,valid,002814,FAST,14714,1790024695.300506,10260
359,4.020115499995882,,0072F1,10619,4095,valid,00297B,MEDIUM,14714,1790024695.4763927,10619
148,4.196358299988788,,0072F1,10767,3947,valid,002A0F,MEDIUM,14714,1790024695.6523368,10767
53,4.371992400003364,,0072F1,10820,3894,valid,002A44,MEDIUM,14714,1790024695.8282244,10820
36,4.548047899996163,,0072F1,10856,3858,valid,002A68,MEDIUM,14714,1790024696.004121,10856
34,4.72407260001637,,0072F1,10890,3824,valid,002A8A,MEDIUM,14714,1790024696.18003,10890
27,4.899609000014607,,0072F1,10917,3797,valid,002AA5,MEDIUM,14714,1790024696.35594,10917
31,5.075670299993362,,0072F1,10948,3766,valid,002AC4,MEDIUM,14714,1790024696.5318446,10948
59,5.251347699988401,,0072F1,11007,3707,valid,002AFF,MEDIUM,14714,1790024696.7077746,11007
71,5.427258600015193,,0072F1,11078,3636,valid,002B46,MEDIUM,14714,1790024696.8836932,11078
65,5.603176300006453,,0072F1,11143,3571,valid,002B87,MEDIUM,14714,1790024697.0596216,11143
86,5.7796123000152875,,0072F1,11229,3485,valid,002BDD,MEDIUM,14714,1790024697.2355268,11229
88,5.955277800007025,,0072F1,11317,3397,valid,002C35,MEDIUM,14714,1790024697.4115002,11317
95,6.130994000006467,,0072F1,11412,3302,valid,002C94,MEDIUM,14714,1790024697.587372,11412
88,6.306862600002205,,0072F1,11500,3214,valid,002CEC,MEDIUM,14714,1790024697.763289,11500
123,6.482791199989151,,0072F1,11623,3091,valid,002D67,MEDIUM,14714,1790024697.9391878,11623
134,6.658680299995467,,0072F1,11757,2957,valid,002DED,MEDIUM,14714,1790024698.115105,11757
158,6.834595699998317,,0072F1,11915,2799,valid,002E8B,MEDIUM,14714,1790024698.2909994,11915
172,7.01048830000218,,0072F1,12087,2627,valid,002F37,MEDIUM,14714,1790024698.4669192,12087
203,7.186826799996197,,0072F1,12290,2424,valid,003002,MEDIUM,14714,1790024698.6428392,12290
71,7.362438800017117,,003978,12361,2353,valid,003049,FINE,14714,1790024698.8187282,12361
0,7.538500800001202,,003978,12361,2353,valid,003049,FINE,14714,1790024698.9946427,12361
2,7.714307499991264,,003978,12363,2351,valid,00304B,FINE,14714,1790024699.1705425,12363
0,7.8905048000160605,,003978,12363,2351,valid,00304B,FINE,14714,1790024699.3464627,12363
1,8.066447199991671,,003978,12364,2350,valid,00304C,FINE,14714,1790024699.5224285,12364
0,8.242066700011492,,003978,12364,2350,valid,00304C,FINE,14714,1790024699.6982956,12364
2,8.417786900012288,,003978,12366,2348,valid,00304E,FINE,14714,1790024699.8741972,12366
13,8.59404799999902,,003978,12379,2335,valid,00305B,FINE,14714,1790024700.0500903,12379
7,8.769596199999796,,003978,12386,2328,valid,003062,FINE,14714,1790024700.2260866,12386
1,8.94586249999702,,003978,12387,2327,valid,003063,FINE,14714,1790024700.4019358,12387
9,9.121422700001858,,003978,12396,2318,valid,00306C,FINE,14714,1790024700.5778227,12396
8,9.297312500013504,,003978,12404,2310,valid,003074,FINE,14714,1790024700.7537522,12404
1,9.47324039999512,,003978,12405,2309,valid,003075,FINE,14714,1790024700.9296644,12405
2,9.649657100002514,,003978,12407,2307,valid,003077,FINE,14714,1790024701.1055608,12407
24,9.825433799996972,,003978,12431,2283,valid,00308F,FINE,14714,1790024701.2814887,12431
6,10.000983600009931,,003978,12437,2277,valid,003095,FINE,14714,1790024701.4574156,12437
14,10.176897400000598,,003978,12451,2263,valid,0030A3,FINE,14714,1790024701.633289,12451
11,10.352807299990673,,003978,12462,2252,valid,0030AE,FINE,14714,1790024701.8091965,12462
37,10.529196599993156,,003978,12499,2215,valid,0030D3,FINE,14714,1790024701.9850929,12499
32,10.704583599988837,,003978,12531,2183,valid,0030F3,FINE,14714,1790024702.1609912,12531
17,10.88088609999977,,003978,12548,2166,valid,003104,FINE,14714,1790024702.33692,12548
41,11.056440399988787,,003978,12589,2125,valid,00312D,FINE,14714,1790024702.5128286,12589
48,11.232645999989472,,003978,12637,2077,valid,00315D,FINE,14714,1790024702.6887336,12637
69,11.408222800004296,,003978,12706,2008,valid,0031A2,FINE,14714,1790024702.8646579,12706
66,11.584148800000548,,003978,12772,1942,valid,0031E4,FINE,14714,1790024703.040547,12772
85,11.760046200011857,,003978,12857,1857,valid,003239,FINE,14714,1790024703.2164946,12857
100,11.935989099991275,,003978,12957,1757,valid,00329D,FINE,14714,1790024703.3923917,12957
110,12.111894300003769,,003978,13067,1647,valid,00330B,FINE,14714,1790024703.5683067,13067
110,12.287864699988859,,003978,13177,1537,valid,003379,FINE,14714,1790024703.7442007,13177
158,12.463681399996858,,003978,13335,1379,valid,003417,FINE,14714,1790024703.9201229,13335
