delta_counts,elapsed_s,note,payload_hex,raw_position,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,,,13908,-14713,valid-start,003654,START,-805,1790025307.5419288,13908
-442,0.15041820000624284,,00E5E3,13466,-14271,valid,00349A,FAST,-805,1790025307.7178316,13466
-723,0.32618070000899024,,00E5E3,12743,-13548,valid,0031C7,FAST,-805,1790025307.893725,12743
-800,0.5021781000250485,,00E5E3,11943,-12748,valid,002EA7,FAST,-805,1790025308.0696433,11943
-802,0.6780460000154562,,00E5E3,11141,-11946,valid,002B85,FAST,-805,1790025308.245819,11141
-837,0.8541427000018302,,00E5E3,10304,-11109,valid,002840,FAST,-805,1790025308.4214118,10304
-814,1.0295522000233177,,00E5E3,9490,-10295,valid,002512,FAST,-805,1790025308.5973248,9490
-847,1.2054747000220232,,00E5E3,8643,-9448,valid,0021C3,FAST,-805,1790025308.7732131,8643
-882,1.381515400018543,,00E5E3,7761,-8566,valid,001E51,FAST,-805,1790025308.9491374,7761
-821,1.5575510000053328,,00E5E3,6940,-7745,valid,001B1C,FAST,-805,1790025309.1250305,6940
-835,1.7335881000035442,,00E5E3,6105,-6910,valid,0017D9,FAST,-805,1790025309.3009408,6105
-749,1.9092943000141531,,0072F1,5356,-6161,valid,0014EC,MEDIUM,-805,1790025309.4768963,5356
-567,2.0853358000167646,,0072F1,4789,-5594,valid,0012B5,MEDIUM,-805,1790025309.6527727,4789
-546,2.2611108999990392,,0072F1,4243,-5048,valid,001093,MEDIUM,-805,1790025309.8286843,4243
-466,2.4368185000203084,,0072F1,3777,-4582,valid,000EC1,MEDIUM,-805,1790025310.0045724,3777
-513,2.6131773000233807,,0072F1,3264,-4069,valid,000CC0,MEDIUM,-805,1790025310.1804597,3264
-523,2.7886483000183944,,0072F1,2741,-3546,valid,000AB5,MEDIUM,-805,1790025310.3563533,2741
-531,2.964738500013482,,0072F1,2210,-3015,valid,0008A2,MEDIUM,-805,1790025310.5322428,2210
-531,3.1406705000263173,,0072F1,1679,-2484,valid,00068F,MEDIUM,-805,1790025310.7081778,1679
-460,3.31640970002627,,003978,1219,-2024,valid,0004C3,FINE,-805,1790025310.8840797,1219
-348,3.4924981000076514,,003978,871,-1676,valid,000367,FINE,-805,1790025311.0600233,871
-309,3.668345500016585,,003978,562,-1367,valid,000232,FINE,-805,1790025311.2358975,562
-295,3.844206900015706,,003978,267,-1072,valid,00010B,FINE,-805,1790025311.41182,267
-281,4.020453400007682,,003978,1059314,-791,valid,1029F2,FINE,-805,1790025311.5877142,-14
-232,4.196313200023724,,002000,1059082,-559,valid,10290A,SLOW,-805,1790025311.7636418,-246
-115,4.372153000003891,,002000,1058967,-444,valid,102897,SLOW,-805,1790025311.9395483,-361
-31,4.5478265000274405,,002000,1058936,-413,valid,102878,SLOW,-805,1790025312.1154563,-392
-5,4.723831200011773,,002000,1058931,-408,valid,102873,SLOW,-805,1790025312.2913587,-397
-10,4.8997409000003245,,002000,1058921,-398,valid,102869,SLOW,-805,1790025312.4672966,-407
-15,5.075442900008056,,002000,1058906,-383,valid,10285A,SLOW,-805,1790025312.6432104,-422
-23,5.251779900019756,,002000,1058883,-360,valid,102843,SLOW,-805,1790025312.8191013,-445
-23,5.427228200016543,,002000,1058860,-337,valid,10282C,SLOW,-805,1790025312.9950209,-468
-6,5.65340430001379,,002000,1058854,-331,valid,102826,SLOW,-805,1790025313.2188928,-474
0,5.827285900013521,,002000,1058854,-331,valid,102826,SLOW,-805,1790025313.3948498,-474
0,6.003006400016602,,002000,1058854,-331,valid,102826,SLOW,-805,1790025313.570718,-474
0,6.178834700025618,,002000,1058854,-331,valid,102826,SLOW,-805,1790025313.746624,-474
0,6.354989500017837,,002000,1058854,-331,valid,102826,SLOW,-805,1790025313.9225187,-474
