delta_counts,elapsed_s,note,payload_hex,raw_position,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,,,164,14713,valid-start,0000A4,START,14877,1790025261.0047836,164
493,0.15016839999589138,,00E5E3,657,14220,valid,000291,FAST,14877,1790025261.1806917,657
742,0.3259892000060063,,00E5E3,1399,13478,valid,000577,FAST,14877,1790025261.3566148,1399
815,0.5022749000054318,,00E5E3,2214,12663,valid,0008A6,FAST,14877,1790025261.532521,2214
808,0.6777988999965601,,00E5E3,3022,11855,valid,000BCE,FAST,14877,1790025261.7084205,3022
839,0.8538219000038225,,00E5E3,3861,11016,valid,000F15,FAST,14877,1790025261.8843749,3861
848,1.029750099987723,,00E5E3,4709,10168,valid,001265,FAST,14877,1790025262.0602155,4709
861,1.205487200000789,,00E5E3,5570,9307,valid,0015C2,FAST,14877,1790025262.2361355,5570
823,1.3815364000038244,,00E5E3,6393,8484,valid,0018F9,FAST,14877,1790025262.4120717,6393
870,1.5573751000047196,,00E5E3,7263,7614,valid,001C5F,FAST,14877,1790025262.5879483,7263
895,1.7332495999871753,,00E5E3,8158,6719,valid,001FDE,FAST,14877,1790025262.7639208,8158
735,1.909350700007053,,0072F1,8893,5984,valid,0022BD,MEDIUM,14877,1790025262.9397986,8893
523,2.0854040999838617,,0072F1,9416,5461,valid,0024C8,MEDIUM,14877,1790025263.1157222,9416
497,2.2612700999889057,,0072F1,9913,4964,valid,0026B9,MEDIUM,14877,1790025263.2916293,9913
473,2.4372622999944724,,0072F1,10386,4491,valid,002892,MEDIUM,14877,1790025263.4675386,10386
502,2.613234399992507,,0072F1,10888,3989,valid,002A88,MEDIUM,14877,1790025263.6434975,10888
507,2.789249399997061,,0072F1,11395,3482,valid,002C83,MEDIUM,14877,1790025263.819367,11395
504,2.965105899987975,,0072F1,11899,2978,valid,002E7B,MEDIUM,14877,1790025263.9953005,11899
434,3.1409848000039347,,003978,12333,2544,valid,00302D,FINE,14877,1790025264.1711876,12333
263,3.316796900006011,,003978,12596,2281,valid,003134,FINE,14877,1790025264.3470938,12596
193,3.4928464999829885,,003978,12789,2088,valid,0031F5,FINE,14877,1790025264.5229912,12789
131,3.668272499984596,,003978,12920,1957,valid,003278,FINE,14877,1790025264.698933,12920
95,3.8442106999864336,,003978,13015,1862,valid,0032D7,FINE,14877,1790025264.8748252,13015
78,4.020240499987267,,003978,13093,1784,valid,003325,FINE,14877,1790025265.0507717,13093
82,4.196062500006519,,003978,13175,1702,valid,003377,FINE,14877,1790025265.2266681,13175
98,4.371972699998878,,003978,13273,1604,valid,0033D9,FINE,14877,1790025265.4025855,13273
127,4.548163100000238,,003978,13400,1477,valid,003458,FINE,14877,1790025265.578477,13400
127,4.723943599994527,,003978,13527,1350,valid,0034D7,FINE,14877,1790025265.7544167,13527
155,4.900174299982609,,003978,13682,1195,valid,003572,FINE,14877,1790025265.9303207,13682
188,5.075606800004607,,003978,13870,1007,valid,00362E,FINE,14877,1790025266.106236,13870
218,5.251944499992533,,003978,14088,789,valid,003708,FINE,14877,1790025266.28216,14088
126,5.427775499993004,,002000,14214,663,valid,003786,SLOW,14877,1790025266.4580474,14214
5,5.603316199994879,,002000,14219,658,valid,00378B,SLOW,14877,1790025266.6339772,14219
1,5.779407599999104,,002000,14220,657,valid,00378C,SLOW,14877,1790025266.8098729,14220
2,5.955252699990524,,002000,14222,655,valid,00378E,SLOW,14877,1790025266.985753,14222
3,6.1314366000005975,,002000,14225,652,valid,003791,SLOW,14877,1790025267.161672,14225
5,6.307308999996167,,002000,14230,647,valid,003796,SLOW,14877,1790025267.3375957,14230
7,6.482896300003631,,002000,14237,640,valid,00379D,SLOW,14877,1790025267.5135233,14237
5,6.659104099991964,,002000,14242,635,valid,0037A2,SLOW,14877,1790025267.6894166,14242
8,6.835199099994497,,002000,14250,627,valid,0037AA,SLOW,14877,1790025267.8653345,14250
9,7.010732099995948,,002000,14259,618,valid,0037B3,SLOW,14877,1790025268.0412297,14259
13,7.186509499995736,,002000,14272,605,valid,0037C0,SLOW,14877,1790025268.2171218,14272
18,7.362665099994047,,002000,14290,587,valid,0037D2,SLOW,14877,1790025268.3930428,14290
36,7.538341300009051,,002000,14326,551,valid,0037F6,SLOW,14877,1790025268.5689535,14326
59,7.714224299998023,,002000,14385,492,valid,003831,SLOW,14877,1790025268.7448878,14385
110,7.890580599982059,,002000,14495,382,valid,00389F,SLOW,14877,1790025268.9207656,14495
150,8.066130799998064,,002000,14645,232,valid,003935,SLOW,14877,1790025269.0967104,14645
78,8.292838599998504,,002000,14723,154,valid,003983,SLOW,14877,1790025269.3205671,14723
0,8.465837499999907,,002000,14723,154,valid,003983,SLOW,14877,1790025269.496448,14723
0,8.642005000001518,,002000,14723,154,valid,003983,SLOW,14877,1790025269.6723711,14723
0,8.817644199996721,,002000,14723,154,valid,003983,SLOW,14877,1790025269.848348,14723
0,8.993608699995093,,002000,14723,154,valid,003983,SLOW,14877,1790025270.0241866,14723
