delta_counts,elapsed_s,note,payload_hex,raw_position,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,,,9805,-14713,valid-start,00264D,START,-4908,1790025164.9500856,9805
-136,0.1505753000092227,,00E5E3,9669,-14577,valid,0025C5,FAST,-4908,1790025165.125936,9669
-397,0.32603470000321977,,00E5E3,9272,-14180,valid,002438,FAST,-4908,1790025165.301819,9272
-444,0.5021712000016123,,00E5E3,8828,-13736,valid,00227C,FAST,-4908,1790025165.4777298,8828
-366,0.6780177000036929,,00E5E3,8462,-13370,valid,00210E,FAST,-4908,1790025165.6536741,8462
-328,0.8538214000000153,,00E5E3,8134,-13042,valid,001FC6,FAST,-4908,1790025165.8295202,8134
-370,1.0299590000067838,,00E5E3,7764,-12672,valid,001E54,FAST,-4908,1790025166.0054512,7764
-409,1.2057357000012416,,00E5E3,7355,-12263,valid,001CBB,FAST,-4908,1790025166.1813557,7355
-393,1.381478800001787,,00E5E3,6962,-11870,valid,001B32,FAST,-4908,1790025166.35727,6962
-410,1.5574493000167422,,00E5E3,6552,-11460,valid,001998,FAST,-4908,1790025166.5331504,6552
-409,1.7336132999917027,,00E5E3,6143,-11051,valid,0017FF,FAST,-4908,1790025166.7090635,6143
-402,1.9092454999918118,,00E5E3,5741,-10649,valid,00166D,FAST,-4908,1790025166.8849971,5741
-365,2.0853024999960326,,00E5E3,5376,-10284,valid,001500,FAST,-4908,1790025167.06086,5376
-412,2.26098700001603,,00E5E3,4964,-9872,valid,001364,FAST,-4908,1790025167.2367792,4964
-466,2.436753999994835,,00E5E3,4498,-9406,valid,001192,FAST,-4908,1790025167.4127204,4498
-489,2.612698000011733,,00E5E3,4009,-8917,valid,000FA9,FAST,-4908,1790025167.5886111,4009
-485,2.7887903999944683,,00E5E3,3524,-8432,valid,000DC4,FAST,-4908,1790025167.7645245,3524
-486,2.9646709999942686,,00E5E3,3038,-7946,valid,000BDE,FAST,-4908,1790025167.9404688,3038
-487,3.1407974000030663,,00E5E3,2551,-7459,valid,0009F7,FAST,-4908,1790025168.116399,2551
-478,3.3166793000127655,,00E5E3,2073,-6981,valid,000819,FAST,-4908,1790025168.292256,2073
-487,3.4929361999966204,,00E5E3,1586,-6494,valid,000632,FAST,-4908,1790025168.468168,1586
-475,3.6683331000094768,,00E5E3,1111,-6019,valid,000457,FAST,-4908,1790025168.6440752,1111
-500,3.844238299992867,,00E5E3,611,-5519,valid,000263,FAST,-4908,1790025168.8199809,611
-470,4.020360199996503,,00E5E3,141,-5049,valid,00008D,FAST,-4908,1790025168.9958718,141
-507,4.195841500011738,,00E5E3,1058962,-4542,valid,102892,FAST,-4908,1790025169.1717927,-366
