delta_counts,elapsed_s,note,payload_hex,raw_position,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,,,1059196,14713,valid-start,10297C,START,1073909,1790025129.9285934,1059196
156,0.15022049998515286,,00E5E3,24,14557,valid,000018,FAST,1073909,1790025130.1045022,1059352
366,0.32597989999339916,,00E5E3,390,14191,valid,000186,FAST,1073909,1790025130.280413,1059718
491,0.502259699977003,,00E5E3,881,13700,valid,000371,FAST,1073909,1790025130.4563355,1060209
468,0.6780585999949835,,00E5E3,1349,13232,valid,000545,FAST,1073909,1790025130.6322598,1060677
394,0.8540286999777891,,00E5E3,1743,12838,valid,0006CF,FAST,1073909,1790025130.8081179,1061071
419,1.0299560999847017,,00E5E3,2162,12419,valid,000872,FAST,1073909,1790025130.9840014,1061490
426,1.2058931999781635,,00E5E3,2588,11993,valid,000A1C,FAST,1073909,1790025131.1599505,1061916
457,1.3814122999901883,,00E5E3,3045,11536,valid,000BE5,FAST,1073909,1790025131.3358219,1062373
456,1.5573001999873668,,00E5E3,3501,11080,valid,000DAD,FAST,1073909,1790025131.511743,1062829
490,1.7335427999787498,,00E5E3,3991,10590,valid,000F97,FAST,1073909,1790025131.6876762,1063319
498,1.9096080999879632,,00E5E3,4489,10092,valid,001189,FAST,1073909,1790025131.8635826,1063817
489,2.0854881999839563,,00E5E3,4978,9603,valid,001372,FAST,1073909,1790025132.039498,1064306
471,2.261450399993919,,00E5E3,5449,9132,valid,001549,FAST,1073909,1790025132.215406,1064777
473,2.4368900999834295,,00E5E3,5922,8659,valid,001722,FAST,1073909,1790025132.3913257,1065250
511,2.6128688999742735,,00E5E3,6433,8148,valid,001921,FAST,1073909,1790025132.5672233,1065761
527,2.788887499977136,,00E5E3,6960,7621,valid,001B30,FAST,1073909,1790025132.7430663,1066288
477,2.9650239999755286,,00E5E3,7437,7144,valid,001D0D,FAST,1073909,1790025132.9189944,1066765
467,3.1404579999798443,,00E5E3,7904,6677,valid,001EE0,FAST,1073909,1790025133.09491,1067232
488,3.3168301999976393,,00E5E3,8392,6189,valid,0020C8,FAST,1073909,1790025133.2708485,1067720
502,3.4923376999795437,,00E5E3,8894,5687,valid,0022BE,FAST,1073909,1790025133.4466934,1068222
483,3.6685555999865755,,00E5E3,9377,5204,valid,0024A1,FAST,1073909,1790025133.622589,1068705
530,3.8443027999892365,,00E5E3,9907,4674,valid,0026B3,FAST,1073909,1790025133.7985194,1069235
339,4.020125099981669,,0072F1,10246,4335,valid,002806,MEDIUM,1073909,1790025133.9744208,1069574
12,4.195868699986022,,0072F1,10258,4323,valid,002812,MEDIUM,1073909,1790025134.150324,1069586
0,4.371782799978973,,0072F1,10258,4323,valid,002812,MEDIUM,1073909,1790025134.3262534,1069586
0,4.547722799994517,,0072F1,10258,4323,valid,002812,MEDIUM,1073909,1790025134.502166,1069586
0,4.723833099997137,,0072F1,10258,4323,valid,002812,MEDIUM,1073909,1790025134.6780624,1069586
