timestamp,step,payload_hex,payload_int,raw_position,unwrapped_position,direction,elapsed_step_s,instant_cps,steady
193231.2692696,1,00E5E3,58851,9197,9197,+,0.15027939999708906,,False
193231.4446444,1,00E5E3,58851,9752,9752,+,0.3256542000162881,3164.650793268142,False
193231.6201081,1,00E5E3,58851,10331,10331,+,0.5011179000139236,3299.82782768061,True
193231.7960523,1,00E5E3,58851,10943,10943,+,0.6770621000032406,3478.375530635051,True
193231.9719872,1,00E5E3,58851,11576,11576,+,0.8529970000090543,3597.9217311578477,True
193232.1479294,1,00E5E3,58851,12180,12180,+,1.0289392000122461,3432.9455922970305,True
193232.3237473,1,00E5E3,58851,12831,12831,+,1.204757100000279,3702.694663309655,True
193232.4996631,1,00E5E3,58851,13465,13465,+,1.380672900006175,3603.9969120383203,True
193232.6755484,1,00E5E3,58851,14124,14124,+,1.5565582000126597,3746.7599621782133,True
193232.8519174,1,00E5E3,58851,14796,14796,+,1.7329272000060882,3810.1934014766675,True
193233.0273732,1,00E5E3,58851,15480,15480,+,1.908383000001777,3898.417721254055,True
193233.2033663,1,00E5E3,58851,16203,16203,+,2.0843761000141967,4108.115601969499,True
193233.3792089,1,00E5E3,58851,16853,16853,+,2.2602187000156846,3696.4876542686475,True
193233.5551645,1,00E5E3,58851,17554,17554,+,2.4361743000044953,3983.959590058956,True
193233.7310102,1,00E5E3,58851,18259,18259,+,2.6120200000004843,4009.1966992430353,True
193233.9069214,1,00E5E3,58851,18991,18991,+,2.7879312000004575,4161.190418802848,True
193234.083239,1,00E5E3,58851,19709,19709,+,2.9642488000099547,4072.1969897578306,True
193234.2695591,2,00A000,40960,20321,20321,+,0.15003690001321957,,False
193234.4350279,2,00A000,40960,20690,20690,+,0.315505700011272,2230.027654786541,False
193234.6105865,2,00A000,40960,20980,20980,+,0.4910643000039272,1651.8700878916363,False
193234.7869113,2,00A000,40960,21221,21221,+,0.6673891000100411,1366.7958222078998,True
193234.9624332,2,00A000,40960,21465,21465,+,0.8429110000142828,1390.1399198282581,True
193235.1384484,2,00A000,40960,21706,21706,+,1.018926199991256,1369.1999329122045,True
193235.3146079,2,00A000,40960,21949,21949,+,1.1950857000192627,1379.4317079769562,True
193235.4901578,2,00A000,40960,22193,22193,+,1.3706356000038795,1389.9181943218505,True
193235.6661074,2,00A000,40960,22495,22495,+,1.546585200005211,1716.4006056149872,True
193235.8423731,2,00A000,40960,22832,22832,+,1.7228508999978658,1911.8864306217438,True
