timestamp,step,payload_hex,payload_int,raw_position,unwrapped_position,direction,elapsed_step_s,instant_cps,steady
118452.2705375,1,00E5E3,58851,655990,655990,+,0.15003089999663644,,False
118452.4355466,1,00E5E3,58851,656447,656447,+,0.3150400000013178,2769.544225058101,False
118452.611333,1,00E5E3,58851,656927,656927,+,0.4908263999968767,2730.5866666142933,False
118452.7874603,1,00E5E3,58851,657413,657413,+,0.6669536999979755,2759.367798160581,True
118452.9630989,1,00E5E3,58851,657893,657893,+,0.8425923000031617,2732.884456980566,True
118453.1387861,1,00E5E3,58851,658393,658393,+,1.0182795000000624,2845.9671507589646,True
118453.3149122,1,00E5E3,58851,658850,658850,+,1.1944056000065757,2594.7318426008396,True
118453.4906085,1,00E5E3,58851,659365,659365,+,1.3701019000000088,2931.194339432583,True
118453.6668493,1,00E5E3,58851,659903,659903,+,1.5463427000067895,3052.6416129483114,True
118453.8423902,1,00E5E3,58851,660463,660463,+,1.7218836000101874,3190.13973375527,True
118454.0184319,1,00E5E3,58851,661005,661005,+,1.8979252999997698,3078.8159852584577,True
118454.1942055,1,00E5E3,58851,661519,661519,+,2.0736988999997266,2924.2161507764895,True
118454.370116,1,00E5E3,58851,662059,662059,+,2.2496094000089215,3069.742852028582,True
118454.5461833,1,00E5E3,58851,662624,662624,+,2.42567670000426,3209.0001948968297,True
118454.7224374,1,00E5E3,58851,663173,663173,+,2.60193080001045,3114.821158660813,True
118454.8978854,1,00E5E3,58851,663752,663752,+,2.7773788000049535,3300.1231135045123,True
118455.0737531,1,00E5E3,58851,664360,664360,+,2.9532465000083903,3457.1442054915065,True
118455.2713751,2,00A000,40960,664801,664801,+,0.1500476999935927,,False
118455.4416005,2,00A000,40960,664817,664817,+,0.32027309999102727,93.99302336925706,False
118455.6175006,2,00A000,40960,664817,664817,+,0.49617319999379106,0.0,False
118455.7935959,2,00A000,40960,664817,664817,+,0.6722684999986086,0.0,True
118455.9695274,2,00A000,40960,664817,664817,+,0.8481999999930849,0.0,True
118456.145281,2,00A000,40960,664817,664817,+,1.023953600000823,0.0,True
118456.3216306,2,00A000,40960,664817,664817,+,1.2003031999920495,0.0,True
118456.4973897,2,00A000,40960,664817,664817,+,1.3760622999980114,0.0,True
118456.6729261,2,00A000,40960,664817,664817,+,1.5515986999962479,0.0,True
118456.848819,2,00A000,40960,664817,664817,+,1.727491600002395,0.0,True
118457.0250768,2,00A000,40960,664817,664817,+,1.903749399993103,0.0,True
118457.2006033,2,00A000,40960,664817,664817,+,2.0792759000032675,0.0,True
118457.376718,2,00A000,40960,664817,664817,+,2.255390599995735,0.0,True
118457.55245,2,00A000,40960,664817,664817,+,2.431122599999071,0.0,True
118457.7286623,2,00A000,40960,664817,664817,+,2.6073348999925656,0.0,True
118457.9042522,2,00A000,40960,664817,664817,+,2.782924799990724,0.0,True
118458.0806055,2,00A000,40960,664817,664817,+,2.959278099995572,0.0,True
118458.2719993,3,0072F1,29425,664822,664822,+,0.15003980000619777,,False
118458.4480418,3,0072F1,29425,664833,664833,+,0.32608230000187177,62.48491131556476,False
118458.6242952,3,0072F1,29425,664837,664837,+,0.5023357000027318,22.694597664388223,True
118458.7999711,3,0072F1,29425,664849,664849,+,0.6780116000009002,68.3076050848472,True
118458.9756875,3,0072F1,29425,664861,664861,+,0.8537280000018654,68.29186120324616,True
118459.1518487,3,0072F1,29425,664864,664864,+,1.029889199999161,17.0298567451065,True
118459.327613,3,0072F1,29425,664871,664871,+,1.2056535000010626,39.82606251624629,True
118459.5034225,3,0072F1,29425,664879,664879,+,1.3814629999978933,45.50379814597172,True
118459.6793222,3,0072F1,29425,664886,664886,+,1.5573626999976113,39.795406132081084,True
118459.8552312,3,0072F1,29425,664907,664907,+,1.7332716999953846,119.37990665779371,True
118460.0314038,3,0072F1,29425,664917,664917,+,1.9094443000067258,56.762515847278415,True
118460.2072294,3,0072F1,29425,664929,664929,+,2.0852698999951826,68.24944718395851,True
118460.3833146,3,0072F1,29425,664959,664959,+,2.2613550999958534,170.37206988370247,True
118460.5589348,3,0072F1,29425,664971,664971,+,2.436975300006452,68.32926963570138,True
118460.7348189,3,0072F1,29425,664999,664999,+,2.6128594000037992,159.19574310823043,True
118460.9106985,3,0072F1,29425,665041,665041,+,2.788738999995985,238.79972436749924,True
118461.0866148,3,0072F1,29425,665075,665075,+,2.9646553000056883,193.27373300896286,True
118461.2726818,4,005000,20480,665104,665104,+,0.15003140000044368,,False
118461.4388333,4,005000,20480,665104,665104,+,0.316182900001877,0.0,False
118461.6144753,4,005000,20480,665104,665104,+,0.4918249000038486,0.0,False
118461.79034,4,005000,20480,665104,665104,+,0.6676896000135457,0.0,True
118461.9661471,4,005000,20480,665104,665104,+,0.8434967000066536,0.0,True
118462.1420158,4,005000,20480,665104,665104,+,1.019365400003153,0.0,True
118462.3179999,4,005000,20480,665104,665104,+,1.1953495000052499,0.0,True
118462.4940612,4,005000,20480,665105,665105,+,1.371410800013109,5.679839919138168,True
118462.6702113,4,005000,20480,665106,665106,+,1.5475609000131954,5.676976623910576,True
118462.8461385,4,005000,20480,665111,665111,+,1.7234881000040332,28.420846806294858,True
118463.0223857,4,005000,20480,665123,665123,+,1.899735300001339,68.08618803693581,True
118463.1976381,4,005000,20480,665130,665130,+,2.0749877000052948,39.94239165821409,True
118463.3737947,4,005000,20480,665131,665131,+,2.2511443000112195,5.676767149038792,True
118463.5494478,4,005000,20480,665133,665133,+,2.4267974000104005,11.386078583351647,True
118463.725245,4,005000,20480,665137,665137,+,2.6025946000008844,22.753490955581338,True
118463.9011905,4,005000,20480,665147,665147,+,2.7785401000001,56.83578153487625,True
118464.0774324,4,005000,20480,665150,665150,+,2.954782000000705,17.022058886052097,True
118464.2738283,5,003978,14712,665151,665151,+,0.15042480001284275,,False
118464.4451736,5,003978,14712,665151,665151,+,0.32177010001032613,0.0,False
118464.6207723,5,003978,14712,665151,665151,+,0.4973688000027323,0.0,False
118464.7971534,5,003978,14712,665151,665151,+,0.6737499000009848,0.0,True
118464.9725417,5,003978,14712,665151,665151,+,0.8491382000065641,0.0,True
118465.1484868,5,003978,14712,665151,665151,+,1.0250833000027342,0.0,True
118465.3246225,5,003978,14712,665151,665151,+,1.201219000009587,0.0,True
118465.5002795,5,003978,14712,665151,665151,+,1.3768760000093607,0.0,True
118465.6761945,5,003978,14712,665151,665151,+,1.5527910000091651,0.0,True
118465.85249,5,003978,14712,665153,665153,+,1.7290865000104532,11.344589056359283,True
118466.0280092,5,003978,14712,665153,665153,+,1.9046057000086876,0.0,True
118466.2039785,5,003978,14712,665153,665153,+,2.0805749999999534,0.0,True
118466.3798177,5,003978,14712,665154,665154,+,2.256414200004656,5.687014044497798,True
118466.5557554,5,003978,14712,665154,665154,+,2.4323519000026863,0.0,True
118466.732153,5,003978,14712,665155,665155,+,2.6087495000101626,5.669011369528933,True
118466.907947,5,003978,14712,665161,665161,+,2.784543500005384,34.13085770938199,True
118467.0834763,5,003978,14712,665171,665171,+,2.960072800007765,56.9705456574164,True
118467.2740916,6,002000,8192,665174,665174,+,0.15020850001019426,,False
118467.4353046,6,002000,8192,665174,665174,+,0.311421500009601,0.0,False
118467.6112163,6,002000,8192,665174,665174,+,0.48733320001338143,0.0,False
118467.7871214,6,002000,8192,665174,665174,+,0.6632383000105619,0.0,True
118467.9633459,6,002000,8192,665174,665174,+,0.8394628000096418,0.0,True
118468.1393265,6,002000,8192,665174,665174,+,1.01544339999964,0.0,True
118468.3152233,6,002000,8192,665174,665174,+,1.1913402000063797,0.0,True
118468.4907584,6,002000,8192,665174,665174,+,1.3668753000092693,0.0,True
118468.6666933,6,002000,8192,665174,665174,+,1.542810200000531,0.0,True
118468.842612,6,002000,8192,665174,665174,+,1.7187288999994053,0.0,True
118469.0186376,6,002000,8192,665175,665175,+,1.8947545000119135,5.68099185532639,True
118469.1943751,6,002000,8192,665175,665175,+,2.0704920000134734,0.0,True
118469.3702804,6,002000,8192,665175,665175,+,2.246397300012177,0.0,True
118469.5498484,6,002000,8192,665175,665175,+,2.4259653000044636,0.0,True
118469.7222383,6,002000,8192,665176,665176,+,2.598355200010701,5.800803875191168,True
