payload_hex,payload_int,direction_of_sweep,mean_counts_s,median_counts_s,std_counts_s,tail_median_counts_s,deg_s,arcsec_s,tail_active_fraction,sustained_motion,classification,steady_samples
00E5E3,58851,high-to-low,3018.6278996610217,3061.1922324884467,236.7670663404282,3254.561654200671,1.0403097092645912,3745.114953352528,1.0,True,sustained,14
00A000,40960,high-to-low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,stalled,14
0072F1,29425,high-to-low,91.72077314566761,68.29186120324616,67.99949703337109,170.37206988370247,0.023208175402867307,83.54943145032229,1.0,True,sustained,15
005000,20480,high-to-low,18.677172868099543,8.532959251244908,22.221417588011196,19.887774920816717,0.0028998245401312592,10.439368344472534,1.0,True,sustained,14
003978,14712,high-to-low,8.128715559798886,0.0,16.821858048979117,19.89993453945546,0.0,0.0,0.75,True,sustained,14
002000,8192,high-to-low,0.8201282664655398,0.0,2.0848620841738934,0.0,0.0,0.0,0.25,False,stalled,14
001000,4096,high-to-low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,stalled,14
000800,2048,high-to-low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,stalled,14
000400,1024,high-to-low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,stalled,14
000200,512,high-to-low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,stalled,14
0000F5,245,high-to-low,3.412135991651248,0.0,9.071555822775663,5.684473088923551,0.0,0.0,0.6,True,sustained,15
