axis,changed_bit_positions_lsb0,elapsed_ms,hamming_distance,monotonic_s,raw_position,reply_kind,rx_bytes_hex,sample_index,timestamp,tx_bytes_hex,valid_position,xor_to_modal_hex
alt,,18.112300022039562,0,283596.2771475,1059285,valid,1029D5,1,1790097579.2939403,15,True,000000
alt,,11.929000029340386,0,283596.3091315,1059285,valid,1029D5,2,1790097579.3259234,15,True,000000
alt,,11.892499984242022,0,283596.3411244,1059285,valid,1029D5,3,1790097579.3579156,15,True,000000
alt,,11.512800003401935,0,283596.3731351,1059285,valid,1029D5,4,1790097579.3899264,15,True,000000
alt,,11.496199993416667,0,283596.4051344,1059285,valid,1029D5,5,1790097579.4219255,15,True,000000
alt,,11.963099997956306,0,283596.4371302,1059285,valid,1029D5,6,1790097579.4539218,15,True,000000
alt,,11.57730002887547,0,283596.4691347,1059285,valid,1029D5,7,1790097579.4859262,15,True,000000
alt,,11.455899977590889,0,283596.5011232,1059285,valid,1029D5,8,1790097579.5179143,15,True,000000
alt,,11.966499965637922,0,283596.5331295,1059285,valid,1029D5,9,1790097579.5499213,15,True,000000
alt,,11.468600016087294,0,283596.5651292,1059285,valid,1029D5,10,1790097579.581921,15,True,000000
alt,,11.94029999896884,0,283596.5971158,1059285,valid,1029D5,11,1790097579.6139069,15,True,000000
alt,,11.985899996943772,0,283596.6291295,1059285,valid,1029D5,12,1790097579.6459205,15,True,000000
alt,,11.784099973738194,0,283596.6611171,1059285,valid,1029D5,13,1790097579.6779082,15,True,000000
alt,,11.964600009378046,0,283596.6931134,1059285,valid,1029D5,14,1790097579.709905,15,True,000000
alt,,11.936700029764324,0,283596.7251125,1059285,valid,1029D5,15,1790097579.7419035,15,True,000000
alt,,11.463000031653792,0,283596.7571128,1059285,valid,1029D5,16,1790097579.773904,15,True,000000
alt,,11.523999972268939,0,283596.7891205,1059285,valid,1029D5,17,1790097579.8059118,15,True,000000
alt,,11.94299996132031,0,283596.8211123,1059285,valid,1029D5,18,1790097579.8379035,15,True,000000
alt,,11.723800038453192,0,283596.8531333,1059285,valid,1029D5,19,1790097579.8699262,15,True,000000
alt,,11.599200021009892,0,283596.8851306,1059285,valid,1029D5,20,1790097579.9019227,15,True,000000
alt,,11.091000051237643,0,283596.9167337,1059285,valid,1029D5,21,1790097579.933526,15,True,000000
alt,,11.513300007209182,0,283596.9486993,1059285,valid,1029D5,22,1790097579.965491,15,True,000000
alt,,11.50309998774901,0,283596.9807001,1059285,valid,1029D5,23,1790097579.997492,15,True,000000
alt,,11.496799997985363,0,283597.0127167,1059285,valid,1029D5,24,1790097580.0295093,15,True,000000
alt,,11.694000044371933,0,283597.0446918,1059285,valid,1029D5,25,1790097580.0614834,15,True,000000
alt,,11.698000016622245,0,283597.0767056,1059285,valid,1029D5,26,1790097580.0934973,15,True,000000
alt,,11.711200000718236,0,283597.1087239,1059285,valid,1029D5,27,1790097580.125517,15,True,000000
alt,,11.693400039803237,0,283597.1407274,1059285,valid,1029D5,28,1790097580.1575198,15,True,000000
alt,,11.661400028970093,0,283597.1727025,1059285,valid,1029D5,29,1790097580.1894944,15,True,000000
alt,,11.578999983612448,0,283597.2046997,1059285,valid,1029D5,30,1790097580.2214913,15,True,000000
alt,,11.568900023121387,0,283597.2366922,1059285,valid,1029D5,31,1790097580.253484,15,True,000000
alt,,11.559999955352396,0,283597.2687108,1059285,valid,1029D5,32,1790097580.2855036,15,True,000000
alt,,11.924599995836616,0,283597.3006809,1059285,valid,1029D5,33,1790097580.3174727,15,True,000000
alt,,11.525899986736476,0,283597.332683,1059285,valid,1029D5,34,1790097580.349474,15,True,000000
alt,,11.956000002101064,0,283597.3646816,1059285,valid,1029D5,35,1790097580.3814728,15,True,000000
alt,,11.502200039103627,0,283597.3966823,1059285,valid,1029D5,36,1790097580.4134736,15,True,000000
alt,,11.947399994824082,0,283597.4286784,1059285,valid,1029D5,37,1790097580.4454696,15,True,000000
alt,,11.481399997137487,0,283597.4606761,1059285,valid,1029D5,38,1790097580.4774673,15,True,000000
alt,,11.627100000623614,0,283597.4926793,1059285,valid,1029D5,39,1790097580.5094705,15,True,000000
alt,,11.966200021561235,0,283597.5246757,1059285,valid,1029D5,40,1790097580.541467,15,True,000000
alt,,11.57879998208955,0,283597.5566803,1059285,valid,1029D5,41,1790097580.573472,15,True,000000
alt,,11.912299960386008,0,283597.5886726,1059285,valid,1029D5,42,1790097580.6054637,15,True,000000
alt,,11.930700042285025,0,283597.620683,1059285,valid,1029D5,43,1790097580.6374748,15,True,000000
alt,,11.896200012415648,0,283597.6526671,1059285,valid,1029D5,44,1790097580.6694589,15,True,000000
alt,,11.503799993079156,0,283597.6846713,1059285,valid,1029D5,45,1790097580.7014625,15,True,000000
alt,,11.945599981117994,0,283597.7166603,1059285,valid,1029D5,46,1790097580.7334516,15,True,000000
alt,,11.969399987719953,0,283597.7486601,1059285,valid,1029D5,47,1790097580.765451,15,True,000000
alt,,11.966200021561235,0,283597.7806545,1059285,valid,1029D5,48,1790097580.7974455,15,True,000000
alt,,11.706400022376329,0,283597.8126784,1059285,valid,1029D5,49,1790097580.8294694,15,True,000000
alt,,11.941300006583333,0,283597.8446644,1059285,valid,1029D5,50,1790097580.8614557,15,True,000000
alt,,11.964299948886037,0,283597.8766628,1059285,valid,1029D5,51,1790097580.8934538,15,True,000000
alt,,11.819600011222064,0,283597.9086729,1059285,valid,1029D5,52,1790097580.9254646,15,True,000000
alt,,11.941600008867681,0,283597.9406628,1059285,valid,1029D5,53,1790097580.957455,15,True,000000
alt,,11.953400040511042,0,283597.9726502,1059285,valid,1029D5,54,1790097580.9894414,15,True,000000
alt,,11.965300014708191,0,283598.0046581,1059285,valid,1029D5,55,1790097581.0214493,15,True,000000
alt,,11.954099987633526,0,283598.0366562,1059285,valid,1029D5,56,1790097581.0534475,15,True,000000
alt,,11.508699972182512,0,283598.0686613,1059285,valid,1029D5,57,1790097581.0854523,15,True,000000
alt,,11.901399993803352,0,283598.1006522,1059285,valid,1029D5,58,1790097581.1174433,15,True,000000
alt,,11.514600017108023,0,283598.1326594,1059285,valid,1029D5,59,1790097581.1494505,15,True,000000
alt,,11.946299986448139,0,283598.1646491,1059285,valid,1029D5,60,1790097581.1814404,15,True,000000
alt,,11.955599999055266,0,283598.1966468,1059285,valid,1029D5,61,1790097581.213438,15,True,000000
alt,,11.503999994602054,0,283598.2286554,1059285,valid,1029D5,62,1790097581.2454467,15,True,000000
alt,,11.952299973927438,0,283598.2606376,1059285,valid,1029D5,63,1790097581.2774286,15,True,000000
alt,,11.980000010225922,0,283598.2926496,1059285,valid,1029D5,64,1790097581.3094409,15,True,000000
alt,,11.93129998864606,0,283598.3246486,1059285,valid,1029D5,65,1790097581.3414419,15,True,000000
alt,,11.809299991000444,0,283598.3566454,1059285,valid,1029D5,66,1790097581.3734365,15,True,000000
alt,,11.972600012086332,0,283598.3886474,1059285,valid,1029D5,67,1790097581.4054387,15,True,000000
alt,,11.950500018429011,0,283598.4206404,1059285,valid,1029D5,68,1790097581.4374316,15,True,000000
alt,,11.956400005146861,0,283598.4526443,1059285,valid,1029D5,69,1790097581.4694355,15,True,000000
alt,,11.95209997240454,0,283598.484642,1059285,valid,1029D5,70,1790097581.5014331,15,True,000000
alt,,11.498000007122755,0,283598.5166473,1059285,valid,1029D5,71,1790097581.5334384,15,True,000000
alt,,11.509899981319904,0,283598.5486463,1059285,valid,1029D5,72,1790097581.5654376,15,True,000000
alt,,11.512600001879036,0,283598.5806399,1059285,valid,1029D5,73,1790097581.597431,15,True,000000
alt,,11.944000027142465,0,283598.6126274,1059285,valid,1029D5,74,1790097581.6294186,15,True,000000
alt,,11.55639998614788,0,283598.6446373,1059285,valid,1029D5,75,1790097581.6614285,15,True,000000
alt,,11.19499997003004,0,283598.6760555,1059285,valid,1029D5,76,1790097581.6928465,15,True,000000
alt,,11.963299999479204,0,283598.7080527,1059285,valid,1029D5,77,1790097581.7248464,15,True,000000
alt,,11.96089998120442,0,283598.7400463,1059285,valid,1029D5,78,1790097581.7568374,15,True,000000
alt,,11.968200036790222,0,283598.7720421,1059285,valid,1029D5,79,1790097581.7888331,15,True,000000
alt,,11.926800012588501,0,283598.8040451,1059285,valid,1029D5,80,1790097581.8208363,15,True,000000
alt,,11.976599984336644,0,283598.8360515,1059285,valid,1029D5,81,1790097581.8528428,15,True,000000
alt,,11.968699982389808,0,283598.8680492,1059285,valid,1029D5,82,1790097581.8848403,15,True,000000
alt,,11.757800006307662,0,283598.9000576,1059285,valid,1029D5,83,1790097581.9168491,15,True,000000
alt,,11.924099992029369,0,283598.9320443,1059285,valid,1029D5,84,1790097581.9488356,15,True,000000
alt,,11.962799995671958,0,283598.9640439,1059285,valid,1029D5,85,1790097581.980835,15,True,000000
alt,,11.952400032896549,0,283598.9960433,1059285,valid,1029D5,86,1790097582.0128343,15,True,000000
alt,,11.939999996684492,0,283599.0280366,1059285,valid,1029D5,87,1790097582.044828,15,True,000000
alt,,11.773200007155538,0,283599.0600439,1059285,valid,1029D5,88,1790097582.0768356,15,True,000000
alt,,11.939099989831448,0,283599.0920415,1059285,valid,1029D5,89,1790097582.1088328,15,True,000000
alt,,11.700599978212267,0,283599.1240362,1059285,valid,1029D5,90,1790097582.1408274,15,True,000000
alt,,11.85289997374639,0,283599.1560399,1059285,valid,1029D5,91,1790097582.172831,15,True,000000
alt,,11.949900013860315,0,283599.1880608,1059285,valid,1029D5,92,1790097582.2048519,15,True,000000
alt,,11.59189996542409,0,283599.220041,1059285,valid,1029D5,93,1790097582.236835,15,True,000000
alt,,11.444699950516224,0,283599.252045,1059285,valid,1029D5,94,1790097582.268836,15,True,000000
alt,,11.966600024607033,0,283599.2840399,1059285,valid,1029D5,95,1790097582.300831,15,True,000000
alt,,11.814000026788563,0,283599.316049,1059285,valid,1029D5,96,1790097582.3328402,15,True,000000
alt,,11.652000015601516,0,283599.3480859,1059285,valid,1029D5,97,1790097582.364879,15,True,000000
alt,,11.60540001001209,0,283599.3800294,1059285,valid,1029D5,98,1790097582.3968205,15,True,000000
alt,,11.51350000873208,0,283599.4120303,1059285,valid,1029D5,99,1790097582.4288216,15,True,000000
alt,,11.728100012987852,0,283599.444035,1059285,valid,1029D5,100,1790097582.4608262,15,True,000000
alt,,11.459300003480166,0,283599.4760291,1059285,valid,1029D5,101,1790097582.4928203,15,True,000000
alt,,11.903699953109026,0,283599.5080236,1059285,valid,1029D5,102,1790097582.5248148,15,True,000000
alt,,11.980699957348406,0,283599.5400305,1059285,valid,1029D5,103,1790097582.5568218,15,True,000000
alt,,11.758300010114908,0,283599.5720256,1059285,valid,1029D5,104,1790097582.588817,15,True,000000
alt,,11.499700020067394,0,283599.6040327,1059285,valid,1029D5,105,1790097582.6208239,15,True,000000
alt,,11.96690002689138,0,283599.6360253,1059285,valid,1029D5,106,1790097582.6528163,15,True,000000
